design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,sio2_count,side_count,score
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,1,307.41107814296305,1.5355335581666443e-05,975.2168328188226,10009910.773620525,0,0,0,0,8.781446356054131
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,2,310.1520504742739,0.7932981086391506,966.5983427856359,195.48266099254843,0,0,0,0,36.23722424557897
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,3,310.1545138544926,0.7934049659543881,966.5906656468849,195.4578854200939,0,0,0,0,36.24512156910262
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,4,310.1559628121659,0.7931946343013612,966.5861500188464,195.51062841300518,0,0,0,0,36.2491684946219
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,5,310.1612139907571,0.7930677710786128,966.5697852502404,195.5452139789529,0,0,0,0,36.26522598597781
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,6,310.1638945061485,0.7929235331290483,966.5614319079201,195.58247519920016,0,0,0,0,36.273248339869774
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,7,310.17197787723353,0.7929397952961119,966.5362424153554,195.58356114628114,0,0,0,0,36.29842818699939
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,8,310.17670673163343,0.7926871104756698,966.5215069143864,195.64889010589872,0,0,0,0,36.312583531453484
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,9,310.1827026196442,0.7923490926128373,966.5028238780129,195.73613796716222,0,0,0,0,36.33049206164779
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,10,311.04453795260775,2.9102475752170163,963.8248592093195,53.43953218987104,0,0,0,0,41.26369020001468
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,11,311.0456041276966,2.909460745225087,963.821555494233,53.45416751852978,0,0,0,0,41.26651822438897
v7_sio2_1500_gap120_P610_G125,610.0,242.5,125.0,0.0,0.0,12,311.04667165282524,2.9094600538368245,963.8182476185225,53.45436367868932,0,0,0,0,41.26981972520885
v7_sio2_1500_gap120_P610_G130,610.0,240.0,130.0,0.0,0.0,1,308.560946065592,1.8593605111505353e-05,971.5826381225572,8297501.861934796,0,0,0,0,12.74157244330259
v7_sio2_1500_gap120_P610_G130,610.0,240.0,130.0,0.0,0.0,2,310.1520498503424,0.7933019936332817,966.5983447301375,195.481703272837,0,0,0,0,36.23723081197859
v7_sio2_1500_gap120_P610_G130,610.0,240.0,130.0,0.0,0.0,3,310.15451328878976,0.7934084783391442,966.5906674098871,195.45701978005178,0,0,0,0,36.24512749969685
