design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,sio2_count,side_count,score
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,1,305.60382516281345,2.127874399283094e-05,980.9839842164365,7180964.846087133,0,0,0,0,5.559253013740474
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,2,307.1371601503775,0.8011703881243102,976.0865727000228,191.6802996610016,0,0,0,0,26.78311738134283
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,3,307.1387535204069,0.8011716885325589,976.0815089720717,191.68098293823138,0,0,0,0,26.78817491683696
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,4,307.1417153541546,0.8011397257004288,976.0720964077431,191.690478889699,0,0,0,0,26.7975014228178
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,5,307.1468833337399,0.8009753330898639,976.05567325341,191.7330476014048,0,0,0,0,26.813538844812754
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,6,307.1497453295272,0.8008685354332674,976.046578447806,191.76040245067196,0,0,0,0,26.822385822244204
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,7,307.15628611449256,0.8004887976444875,976.0257938795767,191.8554557030207,0,0,0,0,26.842309506274983
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,8,307.1622931871991,0.8004256979466604,976.0067060617118,191.87433260524082,0,0,0,0,26.86122640940291
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,9,307.1668897851419,0.800319252544017,975.9921006124711,191.90272432453318,0,0,0,0,26.87557482676916
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,10,308.0424470509273,2.9348018355307346,973.2180122255575,52.48096197187031,0,0,0,0,31.901980626346663
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,11,308.04403999041386,2.9347991805158573,973.2129795769766,52.48128083780304,0,0,0,0,31.907002720144252
v7_sio2_1500_gap120_P616_G130,616.0,243.0,130.0,0.0,0.0,12,308.04545779866635,2.9348737664491575,973.2085002725136,52.48018864050908,0,0,0,0,31.911518177703147
