design_id,re_style,period_nm,width_nm,gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_coverage,bottom_coverage,sidewall_coverage,re_overlap,score
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,1,665.6787976203492,1.0944791139480528,450.35602616710946,304.10758375236765,19,0.7102272727272727,0.5102040816326531,0.5,nan,22.711864830502265
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,2,668.5464844546455,0.0191619111501866,448.4242531684991,17444.67133822753,19,0.7102272727272727,0.5102040816326531,0.5,nan,17.609095664902945
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,3,669.1124117498371,0.10049534138484204,448.0449812849746,3329.071788449892,19,0.7102272727272727,0.5102040816326531,0.5,nan,20.865726073309524
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,4,669.2409413094141,0.00907124210263958,447.9589330166147,36888.05423430801,19,0.7102272727272727,0.5102040816326531,0.5,nan,16.77352399246882
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,5,669.3693109023504,0.06776889899721864,447.8730248267008,4938.617277298711,19,0.7102272727272727,0.5102040816326531,0.5,nan,20.35255368764271
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,6,669.9793873235111,0.15660697609452404,447.4651962019841,2139.047071948852,19,0.7102272727272727,0.5102040816326531,0.5,nan,22.213922430907534
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,7,671.4859949422604,0.42981995315130106,446.4612222117581,781.1247360890786,19,0.7102272727272727,0.5102040816326531,0.5,nan,24.96789622446311
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,8,671.8629003141444,0.03270696991148952,446.21076392196284,10270.943810024542,19,0.7102272727272727,0.5102040816326531,0.5,nan,20.742794664835074
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,9,672.2013237690426,0.20180099866478735,445.9861166578181,1665.5054440182419,19,0.7102272727272727,0.5102040816326531,0.5,nan,24.127699115770568
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,10,672.7788998024217,0.4712839183443296,445.6032406605521,713.7723924104661,19,0.7102272727272727,0.5102040816326531,0.5,nan,25.982520354970248
coarse_P306_G130,particulate,306.0,176.0,130.0,0.0,11,675.3280022886884,1.078839917688981,443.92126046010617,312.98804911452066,19,0.7102272727272727,0.5102040816326531,0.5,nan,29.096628519455074
