design_id,re_style,period_nm,width_nm,gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_coverage,bottom_coverage,sidewall_coverage,re_overlap,score
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,1,664.3191294671165,11.809863046335268,451.27777404284365,28.125606827983585,19,0.7621951219512195,0.5102040816326531,0.5,nan,26.481366437235067
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,2,664.3013527341742,11.823180232115265,451.28985025560297,28.093175427104406,19,0.7621951219512195,0.5102040816326531,0.5,nan,26.495446931046335
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,3,657.9673214765793,3.9527787824656936e-11,455.63426664901823,8322845239851.085,19,0.7621951219512195,0.5102040816326531,0.5,nan,4.63426664901823
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,4,672.9653561856472,5.966271641475281,445.4797787797236,56.39747874597636,19,0.7621951219512195,0.5102040816326531,0.5,nan,30.515182463292337
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,5,654.919085038815,7.078309573285971,457.7549575948489,46.26239346118209,19,0.7621951219512195,0.5102040816326531,0.5,nan,32.09404520302195
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,6,654.9172439278691,7.066536988803259,457.75624444089055,46.339334596675016,19,0.7621951219512195,0.5102040816326531,0.5,nan,32.09244526766403
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,7,654.4189223498319,5.941770115503465,458.10481292859123,55.06935724779222,19,0.7621951219512195,0.5102040816326531,0.5,nan,32.141172898341864
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,8,654.4123641013732,5.94738887498811,458.1094038644416,55.01677945203151,19,0.7621951219512195,0.5102040816326531,0.5,nan,32.14742320740601
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,9,653.5151255042755,4.7222132753961805,458.7383616693944,69.19585027102015,19,0.7621951219512195,0.5102040816326531,0.5,nan,32.37804146835559
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,10,653.5109156777322,4.7213655623292015,458.7413167981995,69.20782843971674,19,0.7621951219512195,0.5102040816326531,0.5,nan,32.38069590847205
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,11,652.8229513720255,3.743077847512428,459.2247520862003,87.20403074249153,19,0.7621951219512195,0.5102040816326531,0.5,nan,32.462605848820246
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,12,652.822322040627,3.7410157120217518,459.2251947863741,87.25201553454893,19,0.7621951219512195,0.5102040816326531,0.5,nan,32.46209291431698
