x_nm,y_nm,abs_ez_squared,in_particle_re
135.23999999999995,720.0000000000001,3.6059892374092275e-14,False
141.11999999999998,720.0,3.6075013842981274e-14,False
147.0,720.0,3.610880287930593e-14,False
135.23999999999998,760.0,5.206182207936635e-14,False
141.12,759.9999999999999,5.2075996688130144e-14,False
147.0,760.0,5.211379752760843e-14,False
135.24,800.0,1.890007115530035e-12,False
141.12,800.0,1.8902780475190995e-12,False
147.0,800.0,1.8929563865975407e-12,False
123.48,719.9999999999998,3.602037521353348e-14,False
129.35999999999999,720.0,3.603600866769036e-14,False
123.48,759.9999999999999,5.203339519881573e-14,False
129.36,759.9999999999999,5.204252722957272e-14,False
123.48,800.0,1.889171537794793e-12,False
129.36,800.0,1.888944675253586e-12,False
135.24,639.9999999999999,6.874190901602991e-16,False
141.12,639.9999999999999,6.878468075683592e-16,False
147.0,639.9999999999999,6.875644381029161e-16,False
135.23999999999998,680.0,9.931705527336514e-16,False
141.12,680.0,9.938103708402895e-16,False
147.0,680.0,9.936977941559427e-16,False
111.72000000000003,719.9999999999998,3.598170498085812e-14,False
117.60000000000001,719.9999999999998,3.599291472334129e-14,False
111.72000000000003,759.9999999999999,5.20063267062965e-14,False
117.60000000000001,759.9999999999999,5.2012623751472324e-14,False
111.72000000000003,800.0,1.888022847994457e-12,False
117.60000000000001,800.0,1.8876913212536832e-12,False
123.48,639.9999999999999,6.866721159391088e-16,False
129.36,639.9999999999999,6.872573794005869e-16,False
123.48,679.9999999999998,9.919900813865648e-16,False
129.36,679.9999999999999,9.92800114897855e-16,False
135.24,559.9999999999999,1.3099343422214194e-17,False
141.12,559.9999999999999,1.310917068943664e-17,False
147.0,560.0,1.3088782758011854e-17,False
135.24,599.9999999999999,1.8981566078319777e-17,False
141.12,599.9999999999999,1.9016383652497556e-17,False
147.0,599.9999999999999,1.900989838478638e-17,False
99.95999999999998,720.0,3.5956285973868685e-14,False
105.84,719.9999999999999,3.595976970754413e-14,False
99.95999999999997,760.0,5.198008385405187e-14,False
105.84,759.9999999999999,5.198610870187754e-14,False
99.95999999999995,800.0,1.8871129054953943e-12,False
105.83999999999999,800.0,1.886601281366865e-12,False
111.72000000000003,639.9999999999999,6.862191616097517e-16,False
117.60000000000001,639.9999999999999,6.867263178950464e-16,False
111.72000000000003,679.9999999999998,9.911537776305053e-16,False
117.60000000000001,679.9999999999998,9.918544726763216e-16,False
123.47999999999998,559.9999999999999,1.309209778251979e-17,False
129.35999999999999,559.9999999999999,1.3103735477585424e-17,False
123.47999999999998,599.9999999999999,1.890712719768467e-17,False
129.36,599.9999999999998,1.895415288291733e-17,False
135.24,479.9999999999999,2.509409041327296e-19,False
141.12,480.0,2.516069199937379e-19,False
147.0,480.0,2.515672375056264e-19,False
135.24,519.9999999999999,3.6006116960808847e-19,False
141.12,519.9999999999999,3.5999565217312906e-19,False
147.0,520.0,3.596232949104776e-19,False
88.19999999999997,720.0,3.5946770759154425e-14,False
94.07999999999997,720.0,3.594197681330098e-14,False
88.19999999999997,760.0,5.195259477720049e-14,False
