Wavel.[nm]  	MAT._REFRACTIVE_INDEX  	MAT._ABSORPTION    
494.377	2.1152	0.0000
495.508	2.1149	0.0000
496.638	2.1146	0.0000
497.769	2.1143	0.0000
498.899	2.1141	0.0000
500.030	2.1138	0.0000
501.161	2.1135	0.0000
502.291	2.1132	0.0000
503.422	2.1129	0.0000
504.552	2.1127	0.0000
505.683	2.1124	0.0000
506.813	2.1121	0.0000
507.944	2.1119	0.0000
509.075	2.1116	0.0000
510.205	2.1113	0.0000
511.336	2.1111	0.0000
512.466	2.1108	0.0000
513.597	2.1105	0.0000
514.727	2.1103	0.0000
515.858	2.1100	0.0000
516.988	2.1098	0.0000
518.119	2.1095	0.0000
519.250	2.1093	0.0000
520.380	2.1090	0.0000
521.511	2.1088	0.0000
522.641	2.1085	0.0000
523.772	2.1083	0.0000
524.902	2.1081	0.0000
526.033	2.1078	0.0000
527.164	2.1076	0.0000
528.294	2.1073	0.0000
529.425	2.1071	0.0000
530.555	2.1069	0.0000
531.686	2.1066	0.0000
532.816	2.1064	0.0000
533.947	2.1062	0.0000
535.078	2.1060	0.0000
536.208	2.1057	0.0000
537.339	2.1055	0.0000
538.469	2.1053	0.0000
539.600	2.1051	0.0000
540.730	2.1049	0.0000
541.861	2.1046	0.0000
542.991	2.1044	0.0000
544.122	2.1042	0.0000
545.253	2.1040	0.0000
546.383	2.1038	0.0000
547.514	2.1036	0.0000
548.644	2.1034	0.0000
549.775	2.1032	0.0000
550.905	2.1030	0.0000
552.036	2.1027	0.0000
553.167	2.1025	0.0000
554.297	2.1023	0.0000
555.428	2.1021	0.0000
556.558	2.1019	0.0000
557.689	2.1017	0.0000
558.819	2.1015	0.0000
559.950	2.1014	0.0000
561.081	2.1012	0.0000
562.211	2.1010	0.0000
563.342	2.1008	0.0000
564.472	2.1006	0.0000
565.603	2.1004	0.0000
566.733	2.1002	0.0000
567.864	2.1000	0.0000
568.994	2.0998	0.0000
570.125	2.0996	0.0000
571.256	2.0995	0.0000
572.386	2.0993	0.0000
573.517	2.0991	0.0000
574.647	2.0989	0.0000
575.778	2.0987	0.0000
576.908	2.0986	0.0000
578.039	2.0984	0.0000
579.170	2.0982	0.0000
580.300	2.0980	0.0000
581.431	2.0979	0.0000
582.561	2.0977	0.0000
583.692	2.0975	0.0000
584.822	2.0974	0.0000
585.953	2.0972	0.0000
587.084	2.0970	0.0000
588.214	2.0968	0.0000
589.345	2.0967	0.0000
590.475	2.0965	0.0000
591.606	2.0964	0.0000
592.736	2.0962	0.0000
593.867	2.0960	0.0000
594.997	2.0959	0.0000
596.128	2.0957	0.0000
597.259	2.0955	0.0000
598.389	2.0954	0.0000
599.520	2.0952	0.0000
600.650	2.0951	0.0000
601.781	2.0949	0.0000
602.911	2.0948	0.0000
604.042	2.0946	0.0000
605.173	2.0945	0.0000
606.303	2.0943	0.0000
607.434	2.0942	0.0000
608.564	2.0940	0.0000
609.695	2.0939	0.0000
610.825	2.0937	0.0000
611.956	2.0936	0.0000
613.087	2.0934	0.0000
614.217	2.0933	0.0000
615.348	2.0931	0.0000
616.478	2.0930	0.0000
617.609	2.0928	0.0000
618.739	2.0927	0.0000
619.870	2.0926	0.0000
621.001	2.0924	0.0000
622.131	2.0923	0.0000
623.262	2.0921	0.0000
624.392	2.0920	0.0000
625.523	2.0919	0.0000
626.653	2.0917	0.0000
627.784	2.0916	0.0000
628.914	2.0915	0.0000
630.045	2.0913	0.0000
631.176	2.0912	0.0000
632.306	2.0911	0.0000
633.437	2.0909	0.0000
634.567	2.0908	0.0000
635.698	2.0907	0.0000
636.828	2.0905	0.0000
637.959	2.0904	0.0000
639.090	2.0903	0.0000
640.220	2.0901	0.0000
641.351	2.0900	0.0000
642.481	2.0899	0.0000
643.612	2.0898	0.0000
644.742	2.0896	0.0000
645.873	2.0895	0.0000
647.004	2.0894	0.0000
648.134	2.0893	0.0000
649.265	2.0892	0.0000
650.395	2.0890	0.0000
651.526	2.0889	0.0000
652.656	2.0888	0.0000
653.787	2.0887	0.0000
654.917	2.0886	0.0000
656.048	2.0884	0.0000
657.179	2.0883	0.0000
658.309	2.0882	0.0000
659.440	2.0881	0.0000
660.570	2.0880	0.0000
661.701	2.0879	0.0000
662.831	2.0877	0.0000
663.962	2.0876	0.0000
665.093	2.0875	0.0000
666.223	2.0874	0.0000
667.354	2.0873	0.0000
668.484	2.0872	0.0000
669.615	2.0871	0.0000
670.745	2.0870	0.0000
671.876	2.0868	0.0000
673.007	2.0867	0.0000
674.137	2.0866	0.0000
675.268	2.0865	0.0000
676.398	2.0864	0.0000
677.529	2.0863	0.0000
678.659	2.0862	0.0000
679.790	2.0861	0.0000
680.920	2.0860	0.0000
682.051	2.0859	0.0000
683.182	2.0858	0.0000
684.312	2.0857	0.0000
685.443	2.0856	0.0000
686.573	2.0855	0.0000
687.704	2.0854	0.0000
688.834	2.0853	0.0000
689.965	2.0852	0.0000
691.096	2.0851	0.0000
692.226	2.0850	0.0000
693.357	2.0849	0.0000
694.487	2.0848	0.0000
695.618	2.0847	0.0000
696.748	2.0846	0.0000
697.879	2.0845	0.0000
699.010	2.0844	0.0000
700.140	2.0843	0.0000
701.271	2.0842	0.0000
702.401	2.0841	0.0000
703.532	2.0840	0.0000
704.662	2.0839	0.0000
705.793	2.0838	0.0000
706.923	2.0837	0.0000
708.054	2.0836	0.0000
709.185	2.0835	0.0000
710.315	2.0834	0.0000
711.446	2.0833	0.0000
712.576	2.0833	0.0000
713.707	2.0832	0.0000
714.837	2.0831	0.0000
715.968	2.0830	0.0000
717.099	2.0829	0.0000
718.229	2.0828	0.0000
