period_nm,fill,gap_nm,remaining_air_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
564.2,0.68,180.54399999999998,148.54399999999998,0.0,1,305.9545911922546,6.871656855697907e-10,979.8593210572792,222620684950.6464,0.14067894272079684
564.2,0.68,180.54399999999998,148.54399999999998,0.0,2,301.74184166989863,4.201161987021852,993.5395646188465,35.911712355061965,87.98720348080651
564.2,0.68,180.54399999999998,148.54399999999998,0.0,3,301.74130915693206,4.201115140608293,993.5413180171546,35.91204942710068,87.98891611585667
564.2,0.68,180.54399999999998,148.54399999999998,0.0,4,300.71487037735886,2.5040365900409918,996.9326013834919,60.04602160634483,89.1477590015978
564.2,0.68,180.54399999999998,148.54399999999998,0.0,5,300.71470071627294,2.5038241282638665,996.933163845744,60.051082925857564,89.14795540953989
564.2,0.68,180.54399999999998,148.54399999999998,0.0,6,299.9976727864981,1.052634115162063,999.3159454052028,142.49855123701295,87.77784091565009
564.2,0.68,180.54399999999998,148.54399999999998,0.0,7,299.9976165622969,1.052461240698712,999.316132692493,142.5219309563996,87.77731571497719
564.2,0.68,180.54399999999998,148.54399999999998,0.0,8,299.56164142385524,0.2785247459227269,1000.77051445922,537.7648589740833,83.46459026711315
564.25,0.68,180.55999999999997,148.55999999999997,0.0,1,305.93138418224237,7.830486779587771e-10,979.9336501593265,195346338480.34406,0.06634984067352434
564.25,0.68,180.55999999999997,148.55999999999997,0.0,2,301.7155155743511,4.201489543966866,993.6262556113816,35.905779654694115,88.07461199743392
564.25,0.68,180.55999999999997,148.55999999999997,0.0,3,301.7149962610327,4.201451460575914,993.6279658457237,35.90604331528742,88.07629034111066
564.25,0.68,180.55999999999997,148.55999999999997,0.0,4,300.6884538035038,2.5042512924118983,997.0201855369899,60.035599205761876,89.23609704083479
564.25,0.68,180.55999999999997,148.55999999999997,0.0,5,300.68829033399425,2.504051654622504,997.0207275680767,60.04035295736027,89.23629520155437
564.25,0.68,180.55999999999997,148.55999999999997,0.0,6,299.9711924483862,1.052717439016471,999.4041612898646,142.47469517016938,87.86678392528559
564.25,0.68,180.55999999999997,148.55999999999997,0.0,7,299.9711367486509,1.0525485080850603,999.4043468628763,142.49753547910075,87.86627333080526
564.25,0.68,180.55999999999997,148.55999999999997,0.0,8,299.5351219379438,0.2785507141535379,1000.8591181574676,537.667122570792,83.55398334825952
564.3,0.68,180.57599999999996,148.57599999999996,0.0,1,305.90754547877066,1.0190870882925759e-09,980.0100142374714,150089010543.39813,0.010014237471409615
564.3,0.68,180.57599999999996,148.57599999999996,0.0,2,301.68921152116167,4.201844003458964,993.7128891298499,35.89962065141051,88.16199053539532
564.3,0.68,180.57599999999996,148.57599999999996,0.0,3,301.68867194156945,4.201793885006101,993.7146664163224,35.89998464919126,88.16372378757904
564.3,0.68,180.57599999999996,148.57599999999996,0.0,4,300.6620471446365,2.504477876794351,997.1077521992054,60.024895793744044,89.32443805148012
564.3,0.68,180.57599999999996,148.57599999999996,0.0,5,300.6618782292718,2.5042674367330684,997.1083123860192,60.02990611527876,89.32463574467238
564.3,0.68,180.57599999999996,148.57599999999996,0.0,6,299.9447177120872,1.052809967652512,999.4923740839694,142.44960008351964,87.95576174068647
564.3,0.68,180.57599999999996,148.57599999999996,0.0,7,299.94466049287223,1.0526344956760112,999.4925647530375,142.4733189559046,87.95522933872529
564.3,0.68,180.57599999999996,148.57599999999996,0.0,8,299.50860715596167,0.278574886567657,1000.9477218258723,537.5728782415218,83.6433483312029
564.35,0.68,180.59199999999998,148.59199999999998,0.0,1,305.8843473239303,1.1331438198854034e-09,980.084337831517,134971546398.61375,0.08433783151701846
564.35,0.68,180.59199999999998,148.59199999999998,0.0,2,301.66289985641475,4.202202740373028,993.7995628322044,35.89342524554589,88.24941378961883
564.35,0.68,180.59199999999998,148.59199999999998,0.0,3,301.6623609881403,4.2021271125998325,993.8013380853512,35.894007118873596,88.25111863925149
564.35,0.68,180.59199999999998,148.59199999999998,0.0,4,300.63564165041475,2.5047030138585216,997.1953303813683,60.01422922937326,89.41278805367395
564.35,0.68,180.59199999999998,148.59199999999998,0.0,5,300.63547362889244,2.5044844496989067,997.195887701752,60.01943307434696,89.41296881283058
564.35,0.68,180.59199999999998,148.59199999999998,0.0,6,299.91824655071116,1.0529007301913684,999.5805905370619,142.42475000288013,88.04473587890722
564.35,0.68,180.59199999999998,148.59199999999998,0.0,7,299.91818969693486,1.0527198647279314,999.5807800218389,142.44919267978608,88.04418009933123
564.35,0.68,180.59199999999998,148.59199999999998,0.0,8,299.4820970857869,0.27859938606349527,1001.036325433918,537.4780277109661,83.73271828551003
564.4,0.68,180.60799999999998,148.60799999999998,0.0,1,305.8608817129247,1.0005234446510333e-09,980.1595297870736,152850432115.36343,0.15952978707355214
564.4,0.68,180.60799999999998,148.60799999999998,0.0,2,301.63660021854633,4.2025446185897035,993.8862120272867,35.88737629153001,88.33679494291285
