x_nm,y_nm,abs_ez,abs_ez_squared
240.97499999999997,719.9999999999998,1.357893567927093e-06,1.843874941817771e-12
252.45,719.9999999999999,1.3577972276164229e-06,1.843613311322844e-12
263.92499999999995,720.0,1.3581072273093638e-06,1.844455240869928e-12
275.4,720.0,1.3588240299535736e-06,1.8464027443792704e-12
240.97500000000002,746.6666666666665,2.883296709525217e-06,8.313399915158944e-12
252.45,746.6666666666667,2.884035786680449e-06,8.317662418853515e-12
263.925,746.6666666666667,2.883927581513944e-06,8.317038295416867e-12
275.4,746.6666666666667,2.8829720166911415e-06,8.311527649024188e-12
240.97500000000002,773.3333333333331,4.545909087485652e-06,2.0665289431684633e-11
252.45,773.3333333333334,4.546087242666708e-06,2.066690921793699e-11
263.925,773.3333333333334,4.546598632394582e-06,2.067155912409228e-11
275.4,773.3333333333334,4.547443256616782e-06,2.0679240172149447e-11
240.97500000000002,800.0,8.673922350382928e-06,7.523692894047248e-11
252.45,800.0000000000001,8.672346335689554e-06,7.520959096614804e-11
263.92499999999995,800.0,8.67397901123261e-06,7.523791188730385e-11
275.4,800.0,8.67882114323278e-06,7.532193643622433e-11
206.54999999999987,720.0,1.3578144467966625e-06,1.8436600719297264e-12
218.02499999999992,720.0,1.3576117002749738e-06,1.8431095287235054e-12
229.49999999999994,719.9999999999998,1.3576380439835585e-06,1.843181058471503e-12
206.5499999999999,746.6666666666667,2.8823036706960712e-06,8.307674450108046e-12
218.02499999999998,746.6666666666667,2.883083823317428e-06,8.312172332274638e-12
229.49999999999997,746.6666666666667,2.8834148476669605e-06,8.314081183746281e-12
206.54999999999993,773.3333333333334,4.545242346312685e-06,2.065922798671404e-11
218.02499999999998,773.3333333333334,4.545240569225282e-06,2.0659211832131366e-11
229.5,773.3333333333334,4.5454628170565895e-06,2.0661232221244027e-11
206.54999999999995,800.0,8.67353425989174e-06,7.523019655751576e-11
218.025,800.0000000000001,8.672021369496763e-06,7.520395463300851e-11
229.5,800.0,8.672150942465906e-06,7.52062019689123e-11
240.97499999999997,640.0000000000001,2.1240359439205895e-07,4.5115286910666296e-14
252.45,640.0000000000001,2.1248461314163056e-07,4.51497108219484e-14
263.92499999999995,640.0,2.1244842026867116e-07,4.513433127465393e-14
275.4,639.9999999999999,2.1229507041287477e-07,4.5069196921607456e-14
240.97500000000002,666.6666666666667,4.5136288241200737e-07,2.037284516192756e-13
252.45,666.6666666666667,4.5129187321052377e-07,2.0366435482586345e-13
263.925,666.6666666666666,4.5132614393539536e-07,2.0369528819959321e-13
275.4,666.6666666666666,4.514656482919835e-07,2.0382123158770092e-13
240.97499999999997,693.3333333333333,7.116556909816581e-07,5.064538225065813e-13
252.45,693.3333333333334,7.117349587746392e-07,5.065666515419374e-13
263.92499999999995,693.3333333333334,7.118015303221199e-07,5.066614185689118e-13
275.4,693.3333333333334,7.11855433177307e-07,5.067381577440514e-13
-275.4,720.0,1.3588240299535736e-06,1.8464027443792704e-12
-263.92499999999995,720.0000000000001,1.35827105443363e-06,1.844900257312245e-12
-252.45,720.0,1.3581712437234086e-06,1.8446291272771905e-12
-240.97499999999997,720.0,1.3585246081320826e-06,1.8455891109004285e-12
-275.4,746.6666666666667,2.8829720166911415e-06,8.311527649024188e-12
-263.925,746.6666666666669,2.8843818545830758e-06,8.319658683048103e-12
-252.45,746.6666666666667,2.8848315119889554e-06,8.322252852564483e-12
-240.97500000000002,746.6666666666667,2.884320850897453e-06,8.319306770921809e-12
-275.4,773.3333333333334,4.547443256616782e-06,2.0679240172149447e-11
-263.925,773.3333333333334,4.5472472510003895e-06,2.0677457561730598e-11
-252.45,773.3333333333334,4.547407581206204e-06,2.0678915709611662e-11
-240.97499999999997,773.3333333333334,4.547924245348765e-06,2.0683614941431134e-11
-275.4,800.0,8.67882114323278e-06,7.532193643622433e-11
-263.92499999999995,800.0000000000001,8.674945591599986e-06,7.525468101722003e-11
-252.45,800.0,8.674643902936972e-06,7.524944684276158e-11
-240.97499999999997,800.0,8.677913924227523e-06,7.530619007630193e-11
172.12499999999994,719.9999999999998,1.3575571105784326e-06,1.8429613084820627e-12
183.59999999999994,719.9999999999999,1.357268581246506e-06,1.8421780016389035e-12
195.07499999999987,720.0,1.3573543146347995e-06,1.8424107354577065e-12
172.12499999999994,746.6666666666665,2.881855080191602e-06,8.305088703226143e-12
183.59999999999997,746.6666666666667,2.8826676590465267e-06,8.309772832512783e-12
195.07499999999996,746.6666666666667,2.882817204195545e-06,8.31063503280582e-12
172.12499999999994,773.3333333333331,4.544710030498353e-06,2.0654389261312338e-11
183.59999999999997,773.3333333333334,4.544587214875302e-06,2.0653272953608054e-11
195.07499999999993,773.3333333333334,4.544764653435205e-06,2.065488575511402e-11
172.12499999999994,800.0,8.672807089632915e-06,7.521758281398695e-11
183.59999999999997,800.0000000000001,8.670471699020443e-06,7.517707948351445e-11
195.07499999999993,800.0,8.670714207525838e-06,7.518128486859042e-11
206.54999999999998,640.0000000000001,2.124989249998692e-07,4.515579312610004e-14
218.025,640.0000000000001,2.1252692076426018e-07,4.516769204953813e-14
229.49999999999997,640.0000000000001,2.124951390225535e-07,4.5154184108214336e-14
206.54999999999995,666.6666666666669,4.513483967151877e-07,2.0371537521737045e-13
218.02499999999998,666.6666666666669,4.5129677885942084e-07,2.03668782608889e-13
229.49999999999994,666.6666666666667,4.5130162376863505e-07,2.0367315561620662e-13
206.5499999999999,693.3333333333334,7.114697856255919e-07,5.061892558581258e-13
218.02499999999995,693.3333333333334,7.115235335507548e-07,5.062657387965521e-13
229.49999999999994,693.3333333333334,7.115854964148879e-07,5.063539187080224e-13
240.9749999999999,559.9999999999999,3.33183647004384e-08,1.1101134263114197e-15
252.44999999999993,560.0,3.3298291183670666e-08,1.1087761957525196e-15
263.92499999999995,560.0,3.327536990237178e-08,1.1072502421396698e-15
275.4,560.0,3.324962580363019e-08,1.1055376160814307e-15
240.9749999999999,586.6666666666666,7.063728289488884e-08,4.989625734772556e-15
252.45,586.6666666666667,7.059000348402538e-08,4.982948591874715e-15
263.92499999999995,586.6666666666666,7.056665931662788e-08,4.979653407109025e-15
