path_index,segment,s_norm,kx_norm,ky_norm,mode_index,wavelength_nm,freq_thz_real,freq_thz_imag,q_value,period_nm,radius_nm,axis_gap_nm
0,G,0.0,0.0,0.0,1,980.9839842164391,305.60382516281265,2.1278744037938477e-05,7180964.830864616,616.0,243.0,130.0
0,G,0.0,0.0,0.0,2,976.086572700023,307.13716015037744,0.8011703881239951,191.68029966107696,616.0,243.0,130.0
0,G,0.0,0.0,0.0,3,976.0815089720717,307.1387535204069,0.8011716885325006,191.68098293824534,616.0,243.0,130.0
0,G,0.0,0.0,0.0,4,976.0720964077427,307.14171535415477,0.8011397257004698,191.6904788896893,616.0,243.0,130.0
0,G,0.0,0.0,0.0,5,976.0556732534097,307.14688333373994,0.8009753330898242,191.73304760141434,616.0,243.0,130.0
0,G,0.0,0.0,0.0,6,976.0465784478056,307.1497453295273,0.8008685354331909,191.76040245069035,616.0,243.0,130.0
0,G,0.0,0.0,0.0,7,976.0257938795763,307.1562861144927,0.8004887976442089,191.85545570308756,616.0,243.0,130.0
0,G,0.0,0.0,0.0,8,976.0067060617123,307.162293187199,0.8004256979469991,191.87433260515957,616.0,243.0,130.0
0,G,0.0,0.0,0.0,9,975.9921006124707,307.166889785142,0.8003192525439916,191.90272432453935,616.0,243.0,130.0
0,G,0.0,0.0,0.0,10,973.2180122255587,308.04244705092685,2.9348018355310113,52.480961971865284,616.0,243.0,130.0
0,G,0.0,0.0,0.0,11,973.2129795769766,308.0440399904138,2.9347991805157405,52.48128083780512,616.0,243.0,130.0
0,G,0.0,0.0,0.0,12,973.2085002725148,308.045457798666,2.9348737664491797,52.48018864050862,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,1,979.9865028057986,305.91488468633435,0.8043289012661027,190.16778099406255,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,2,979.9662711093065,305.9212003905396,0.8041672778264383,190.2099282237681,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,3,981.2113845200814,305.533000054449,0.0028368292677382473,53851.14351595169,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,4,978.0005274578834,306.53609030176136,0.8025118875899244,190.9853891525145,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,5,977.97296868722,306.5447283296856,0.8022895553034941,191.0436988137807,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,6,977.0714213955895,306.82757824580995,2.9442834843076637,52.10564469778956,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,7,977.0574646236814,306.8319611226414,2.9438005073271185,52.11493787689362,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,8,975.1159193491144,307.4428917129259,2.9384932642280504,52.313016241283094,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,9,974.0931259548234,307.76570536429773,0.7991798679107038,192.5509623815285,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,10,974.0654289525022,307.77445650893605,0.7989582005173832,192.60986138550794,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,11,972.1708336692294,308.37425647558683,0.7976605676327574,193.29917322524724,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,12,972.1498317202929,308.38091847374443,0.7974855380829499,193.34577478047535,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,1,980.882693430617,305.63538332140627,0.8047725457689434,189.88929538431137,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,2,980.9100539940264,305.6268582214223,0.8049918337649101,189.83227245425547,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,3,977.9889910694662,306.53970621097295,2.9462461382955336,52.022080271323276,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,4,977.9752924626422,306.5439999461457,2.9459115270465484,52.028717959068224,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,5,982.4212008308539,305.1567471736759,0.018283313973780368,8345.225258705654,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,6,982.9161157521172,305.003095580137,2.959587966465232,51.52796589188999,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,7,982.9298843406929,304.99882318776775,2.9600622583975618,51.51898787305909,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,8,985.899525377126,304.0801321872262,0.8092147967222814,187.88591942392833,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,9,985.919546543575,304.0739572016893,0.8093727772858119,187.84543150894262,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,10,971.1422442862283,308.70087236328794,0.7966591825241343,193.74713750565226,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,11,971.1143322086477,308.70974514212855,0.796434165272278,193.807447371742,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,12,966.3801135003167,310.22208943655147,0.7927164637654026,195.67027027734278,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,1,982.7213711678629,305.06353763704925,2.958713266981064,51.55341361420977,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,2,982.7349716294012,305.0593157409835,2.9590433867567887,51.546948771734435,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,3,985.6893981916908,304.1449553479911,0.8088674433558414,188.0066739280233,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,4,985.7164790826284,304.1365994804168,0.8090832151570665,187.95137124515375,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,5,986.9592479590603,303.7536338201834,0.08277530359236523,1834.8083343556596,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,6,992.8164874737452,301.9616029572917,2.986217562680981,50.55921020807927,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,7,992.8298488964709,301.95753918279036,2.986670455484203,50.55086319086995,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,8,966.1880585370064,310.2837541316161,0.7924224189529914,195.78178677831107,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,9,966.1598177807392,310.29282369517364,0.7921930682375681,195.84419261929276,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,10,995.9274040999121,301.01838423749666,0.8177301420066572,184.05728783509002,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,11,995.9469464007453,301.0124777061876,0.8178800718447246,184.01993646040026,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,12,963.4497855275339,311.1656284565465,2.9069264278118268,53.52141448773692,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,1,985.6748992917692,304.14942920369384,7.290744002079555,20.85860024141162,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,2,985.699836971825,304.1417343853829,7.292361136238052,20.85344710055611,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,3,988.1004596452811,303.4028120051909,0.8658877430679457,175.19754404317922,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,4,992.0407581218196,302.19772277056626,2.983798724581927,50.63976337963421,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,5,992.0542437539737,302.1936148023249,2.984123788707262,50.63355882653191,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,6,966.5389639646246,310.17110450497313,0.46659133464203995,332.3798380685001,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,7,995.1289120311051,301.25992157951623,0.8168907706115753,184.39424976853041,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,8,995.1555038571237,301.2518715296597,0.8171008668381803,184.34191160227957,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,9,959.462506196723,312.4587527535257,5.039152613826826,31.003104757750002,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,10,956.1569067454407,313.5389765895549,0.7838221422287001,200.006455353536,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,11,956.1279826042105,313.54846155998257,0.7835838151498598,200.07333963375487,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,12,1008.2781338052267,297.3311112763973,0.42805517377071867,347.3046577818707,616.0,243.0,130.0
5,G-X,0.35,0.35,0.0,1,985.3508504892576,304.24945373634546,11.864652020950025,12.821676236231648,616.0,243.0,130.0
5,G-X,0.35,0.35,0.0,2,986.8305771587193,303.79323962899684,9.077010522129887,16.73421215544173,616.0,243.0,130.0
5,G-X,0.35,0.35,0.0,3,968.6904661446523,309.48220146437643,1.5813563529464125,97.85340315221912,616.0,243.0,130.0
5,G-X,0.35,0.35,0.0,4,993.7811410393468,301.6684918033983,7.354338676946292,20.509559394445695,616.0,243.0,130.0
5,G-X,0.35,0.35,0.0,5,998.9384085992051,300.1110533134811,7.39135203014797,20.301499109322837,616.0,243.0,130.0
