path_index,segment,s_norm,kx_norm,ky_norm,mode_index,wavelength_nm,freq_thz_real,freq_thz_imag,q_value,period_nm,radius_nm,axis_gap_nm
0,G,0.0,0.0,0.0,1,980.9839842164391,305.60382516281265,2.1278744037938477e-05,7180964.830864616,616.0,243.0,130.0
1,G-X,0.002,0.002,0.0,1,980.9862533942646,305.6031182523732,4.923612041163709e-05,3103444.338195085,616.0,243.0,130.0
2,G-X,0.005,0.005,0.0,1,980.9981681775482,305.59940652788396,0.00019607787859468744,779280.6835685642,616.0,243.0,130.0
3,G-X,0.01,0.01,0.0,1,981.0407429119007,305.58614427181027,0.0007214119437144005,211797.25878837725,616.0,243.0,130.0
4,G-X,0.02,0.02,0.0,3,981.2113845200814,305.533000054449,0.0028368292677382473,53851.14351595169,616.0,243.0,130.0
5,G-X,0.05,0.05,0.0,2,980.9100539940264,305.6268582214223,0.8049918337649101,189.83227245425547,616.0,243.0,130.0
6,G-X,0.08,0.08,0.0,2,980.8431280683157,305.64771207646106,2.9539440634518006,51.735528078906746,616.0,243.0,130.0
7,G-X,0.1,0.1,0.0,1,982.7213711678629,305.06353763704925,2.958713266981064,51.55341361420977,616.0,243.0,130.0
