design_id,family,target_nm,length_nm,n_periods,min_feature_nm,min_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,1,305.87472916309935,4.3176606522635366e-08,980.1151563591376,3542134894.306067,0.11515635913758615
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.002,1,305.8732190910704,0.00011236101055015894,980.119995110589,1361118.1387271606,7.584411824263139
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.006,1,305.8611417381504,0.0010096986933601573,980.158696512858,151461.59133883836,11.437486451060344
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.02,2,305.72416355969347,0.01106795125671683,980.5978517019141,13811.235542538103,16.036921574042957
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.06,5,304.55063448679067,0.08890671872343811,984.3764026471038,1712.7537651803093,23.441622923461452
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.15,1,312.0957942052046,0.610585094353786,960.5783338524739,255.57108836362258,41.79161925778611
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.3,1,303.5841288636279,2.843513566731364,987.5103126180516,53.381867492301026,32.600737566366654
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.5,2,304.3716952850415,1.8134754099708807,984.9551145655871,83.91944374088007,29.259664179671937
