source,design_id,family,lambda980_nm,q980,lambda451_nm,q451,min_feature_nm,min_gap_nm,dual_score
fine_scan_2d.csv,fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.1151563591376,3542134894.306067,453.2915957181224,1300.058737615254,157.36,157.36,10.066056538413562
fine_scan_2d.csv,fine_primitive_P556_f0p75,primitive_1d_grating_fine,981.0990912051759,7010413823.772181,451.47166907605424,724.4471727655671,139.0,139.0,11.229824598884026
fine_scan_2d.csv,fine_primitive_P558_f0p74,primitive_1d_grating_fine,980.9732810396644,5427701837.8224535,449.93086888708734,544.6553268298215,145.07999999999998,145.07999999999998,12.0712061703626
fine_scan_2d.csv,fine_primitive_P554_f0p76,primitive_1d_grating_fine,981.0214759666696,8537747201.544399,452.94780130192703,933.8950776912071,132.95999999999998,132.95999999999998,12.10956088982927
fine_scan_2d.csv,fine_primitive_P550_f0p78,primitive_1d_grating_fine,980.2887012456321,12047275019.410818,455.6603221688373,1307.469748748965,121.0,121.0,12.771998062994687
fine_scan_2d.csv,fine_primitive_P552_f0p76,primitive_1d_grating_fine,977.9550557152727,9453471897.508945,451.73253957117436,911.8230885040903,132.48000000000002,132.48000000000002,12.98278580108461
fine_scan_2d.csv,fine_primitive_P554_f0p75,primitive_1d_grating_fine,978.0367876632693,7177829168.170396,450.2655584387689,694.664066658245,138.5,138.5,13.293766897008084
fine_scan_2d.csv,fine_primitive_P560_f0p72,primitive_1d_grating_fine,977.0893278772238,3900365812.328736,451.8632393135277,1298.2547723610553,156.8,156.8,14.231143848165322
fine_scan_2d.csv,fine_primitive_P556_f0p74,primitive_1d_grating_fine,977.9269593700376,6016572947.828588,454.5689887578687,1799.2151751961603,144.56,144.56,14.694737596068604
fine_scan_2d.csv,fine_primitive_P548_f0p78,primitive_1d_grating_fine,977.205358612719,13415344137.389809,454.42610377652693,1366.480105458933,120.56,120.56,16.472973298309135
fine_scan_2d.csv,fine_primitive_P560_f0p74,primitive_1d_grating_fine,984.0177472959704,4944555208.014532,451.1222397553627,572.1247143067407,145.60000000000002,145.60000000000002,17.12777151303007
fine_scan_2d.csv,fine_primitive_P564_f0p72,primitive_1d_grating_fine,983.1375894452472,3199405414.629841,454.7129904361332,1270.1705523837768,157.92000000000002,157.92000000000002,17.572721167257107
wide_shallow_groove_scan_2d.csv,groove_P550_f0p78_gw100_gd100,wide_shallow_groove_1d,976.8410067703269,9732741184.998209,446.2757222166117,1785.7841816043663,100.0,121.0,18.03494835599544
fine_scan_2d.csv,fine_primitive_P546_f0p80,primitive_1d_grating_fine,978.7855593942363,15927006336.696348,449.6218365081532,55.170836337869865,109.19999999999999,109.19999999999999,18.340206433363853
fine_scan_2d.csv,fine_primitive_P558_f0p75,primitive_1d_grating_fine,984.153271946982,6247780857.634561,452.6747035780947,750.3156791317499,139.5,139.5,18.48027138456945
fine_scan_2d.csv,fine_primitive_P564_f0p70,primitive_1d_grating_fine,975.4466891646842,2381366085.776123,449.6386968842871,778.05171319021,169.20000000000005,169.20000000000005,18.903890933055173
fine_scan_2d.csv,fine_primitive_P550_f0p76,primitive_1d_grating_fine,974.8891731114165,10326362141.393084,450.5132682311501,882.3290046959419,132.0,132.0,18.925863322128805
fine_scan_2d.csv,fine_primitive_P554_f0p74,primitive_1d_grating_fine,974.8782735185566,6494797323.309079,453.11731872993056,1934.5708724491983,144.04000000000002,144.04000000000002,19.21443311440723
fine_scan_2d.csv,fine_primitive_P548_f0p80,primitive_1d_grating_fine,981.8824819038845,15053401931.105228,450.02817311308456,55.28940838908652,109.59999999999997,109.59999999999997,19.266222923081337
fine_scan_2d.csv,fine_primitive_P556_f0p76,primitive_1d_grating_fine,984.0892872754522,7838144014.45414,454.15917366643794,946.4038246434154,133.44,133.44,19.43344227049861
fine_scan_2d.csv,fine_primitive_P558_f0p72,primitive_1d_grating_fine,974.0606312263322,4283873726.7653713,450.4299936892805,1272.1702233875974,156.24,156.24,20.03056295327155
fine_scan_2d.csv,fine_primitive_P552_f0p78,primitive_1d_grating_fine,983.3709840759053,10932379960.969414,456.88913673950555,1224.8576706724962,121.44,121.44,20.278762386090314
fine_scan_2d.csv,fine_primitive_P552_f0p75,primitive_1d_grating_fine,974.9782194009023,7840692578.726101,454.6112995856877,2057.204839021695,138.0,138.0,20.401750635037743
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw100_gd100,wide_shallow_groove_1d,977.560522804641,6161188199.505435,445.69085186002525,267.9442926551489,100.0,132.95999999999998,20.475924487522068
wide_shallow_groove_scan_2d.csv,groove_P558_f0p74_gw100_gd100,wide_shallow_groove_1d,977.4932139901123,4652076472.038403,452.23569233279613,24.81932239524518,100.0,145.07999999999998,20.67010467083822
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw100_gd100,wide_shallow_groove_1d,977.6317014990607,5746330136.155124,452.82408606309724,25.234589876174525,100.0,139.0,20.952698061859202
wide_shallow_groove_scan_2d.csv,groove_P550_f0p78_gw100_gd120,wide_shallow_groove_1d,975.7982069763748,8990362038.339397,444.974613294293,2281.363391515067,100.0,121.0,20.99619487996156
