design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,sio2_count,side_count,score
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,1,318.86200484636424,28.560018993451102,940.1949854277796,5.582314299571724,0,0,0,0,68.81775743298515
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,2,318.865951812602,28.556760777723266,940.1833475660283,5.5830203273850465,0,0,0,0,68.82917559761563
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,3,327.0605175949996,0.0002926685613316404,916.6268683376642,558755.8091427312,0,0,0,0,72.38424345699362
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,4,328.45674964522453,0.0003137345987532947,912.7303924300971,523462.7467777416,0,0,0,0,76.39406445101665
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,5,338.48091428869924,0.7236421549372886,885.6997406485942,233.8731318921244,0,0,0,0,116.82433802537021
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,6,338.48207044084836,0.7236348777234348,885.6967153667609,233.87628268120352,0,0,0,0,116.82733990372688
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,7,338.50186185468164,0.7228967785692885,885.6449307469408,234.12876629815884,0,0,0,0,116.87725014629422
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,8,338.5107470881804,0.7226780907051175,885.621684329879,234.20576287147105,0,0,0,0,116.89992536161645
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,9,339.18648480690575,2.691997959576175,883.8573216461374,62.999023383417956,0,0,0,0,120.94534308572955
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,10,339.1871843626484,2.6912129098002704,883.8554987368603,63.01753070659529,0,0,0,0,120.94665573643326
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,11,339.20239753671643,2.6888817599885817,883.815857957046,63.0749932154244,0,0,0,0,120.98471319305274
hole_coarse_P500_rho0p14,500.0,70.0,360.0,0.0,0.0,12,339.2088692821738,2.687575695421435,883.7989956878606,63.10684939219599,0,0,0,0,121.00069831783796
hole_coarse_P500_rho0p18,500.0,90.0,320.0,0.0,0.0,1,320.5626576118808,28.961162709711946,935.2070519797468,5.534354073159882,0,0,0,0,73.82068025748418
hole_coarse_P500_rho0p18,500.0,90.0,320.0,0.0,0.0,2,320.57565640821196,28.9544743969243,935.169130928185,5.53585694586577,0,0,0,0,73.8581296364998
hole_coarse_P500_rho0p18,500.0,90.0,320.0,0.0,0.0,3,330.1075436062535,0.0003385873153391682,908.1660319692276,487477.7179345594,0,0,0,0,81.08214895329452
hole_coarse_P500_rho0p18,500.0,90.0,320.0,0.0,0.0,4,333.73757383641976,0.0004099271176277371,898.2880008198963,407069.4026876912,0,0,0,0,91.27332534040471
hole_coarse_P500_rho0p18,500.0,90.0,320.0,0.0,0.0,5,338.4809137169457,0.7236453965080084,885.6997421446964,233.87208386200228,0,0,0,0,116.82434431391118
