design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,sio2_count,side_count,score
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,1,307.41969483718924,0.0006862991365770967,975.1894983786623,223969.1691661153,0,0,0,0,15.409748665547033
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,2,308.4162393423021,0.0007208659208863171,972.0384978408,213920.6684670979,0,0,0,0,18.640491171123003
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,3,315.71645094542276,0.7787576350093042,949.562359206377,202.70520425886468,0,0,0,0,53.210181197925614
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,4,315.7228820988011,0.7788174931846544,949.5430169872327,202.69375358261536,0,0,0,0,53.2296215518167
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,5,315.7263901782025,0.7784408329121107,949.5324664840051,202.79408326840002,0,0,0,0,53.239312396611425
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,6,315.7375655916995,0.7781278899007124,949.4988581361296,202.8828227914996,0,0,0,0,53.27216074883037
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,7,316.5734877820337,2.864039663705068,946.9916767206112,55.26695244375528,0,0,0,0,58.03846121070177
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,8,316.57639194611323,2.8632575594687344,946.9829893412577,55.282555860055545,0,0,0,0,58.04665820505055
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,9,316.5777562195033,2.8631347572773556,946.978908373256,55.28516522228717,0,0,0,0,58.05065717938487
hole_focus_P536_R70p0,536.0,70.0,396.0,0.0,0.0,10,316.58677046950044,2.8609567708262844,946.9519448188112,55.32882805112531,0,0,0,0,58.07624929601772
