design_id,family,target_nm,n_periods,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,re_overlap,score
periodic_N1_baseline,periodic_supercell,451.0,1,0.0,1,663.8083458294857,4.181893171312232,451.6250208113661,79.36696594537707,nan,0.8257412546950008
periodic_N1_baseline,periodic_supercell,451.0,1,0.02,1,663.956511173153,4.214199649361133,451.52423834249777,78.7761101059614,nan,0.7314492786407575
periodic_N1_baseline,periodic_supercell,451.0,1,0.05,1,664.7116201017137,4.401976525202981,451.0113091661102,75.50149532783605,nan,0.2553980600386697
periodic_N1_baseline,periodic_supercell,451.0,1,0.1,1,664.1556636485371,2.6862222861969656,451.38884512870226,123.62261810224561,nan,0.3888451287022576
periodic_N1_baseline,periodic_supercell,451.0,1,0.2,1,667.1165551218234,0.06310362761549708,449.3854270266975,5285.881179341201,nan,1.6145729733024723
periodic_N1_baseline,periodic_supercell,451.0,1,0.35,1,664.6275811054392,0.6392172053339886,451.06833740088155,519.8761669424822,nan,0.06833740088154627
periodic_N1_baseline,periodic_supercell,451.0,1,0.5,1,664.8346807593848,0.6938149598447702,450.9278271367737,479.11526792974513,nan,0.07217286322628524
periodic_N1_baseline,periodic_supercell,451.0,1,0.75,1,664.8897567870505,2.490318694440414,450.89047460843483,133.4949133762284,nan,0.10952539156517105
periodic_N1_baseline,periodic_supercell,451.0,1,1.0,2,665.2929381952601,2.1695025001017236,450.61722556870495,153.32845621612924,nan,0.3827744312950472
