x_nm,y_nm,abs_ez_squared,in_rare_earth_mask
270.1436170212766,720.0000000000001,9.698285575218744e-15,False
276.14680851063827,720.0,9.303214189312709e-15,False
282.1499999999999,720.0,8.285402377607429e-15,False
270.1436170212766,760.0,8.158311459122295e-14,False
276.14680851063827,759.9999999999999,7.549022794499333e-14,False
282.1499999999999,760.0,7.277884417687317e-14,False
270.14361702127667,800.0,2.2307484859296864e-12,False
276.14680851063827,800.0,2.3983197374406963e-12,False
282.1499999999999,800.0,2.41363305251937e-12,False
258.13723404255325,719.9999999999998,1.1343383051911578e-14,False
264.1404255319149,720.0,1.0714038832596783e-14,False
258.13723404255325,759.9999999999999,7.706282605229192e-14,False
264.14042553191496,759.9999999999999,8.403535512939816e-14,False
258.13723404255325,800.0,1.6450008297394196e-12,False
264.14042553191496,800.0,2.015284091020151e-12,False
270.14361702127667,639.9999999999999,4.984049883371859e-15,False
276.14680851063827,639.9999999999999,4.486994320255423e-15,False
282.1499999999999,639.9999999999999,3.532096247725826e-15,False
270.14361702127667,680.0,1.6042377841065517e-15,False
276.14680851063827,680.0,1.3070721190406627e-15,False
282.1499999999999,680.0,5.150316227422081e-16,False
246.1308510638298,719.9999999999997,2.094803739501228e-14,False
252.13404255319148,719.9999999999998,1.5448289770054252e-14,False
246.1308510638298,759.9999999999999,6.831483812097536e-14,False
252.13404255319148,759.9999999999999,7.313285455930521e-14,False
246.1308510638298,800.0,1.1179459798708266e-12,False
252.13404255319148,800.0,1.3598336667461454e-12,False
258.1372340425532,639.9999999999999,3.5513398522407683e-15,False
264.14042553191496,639.9999999999999,4.805154287305575e-15,False
258.1372340425532,679.9999999999998,1.4391596610132547e-15,False
264.1404255319149,679.9999999999999,1.3475085412507235e-15,False
270.1436170212766,560.0000000000001,2.4504828833136613e-15,False
276.14680851063827,560.0000000000001,4.164427801569647e-15,False
282.1499999999999,560.0,3.2102969893992665e-15,False
270.14361702127667,599.9999999999999,1.750148899278071e-15,False
276.14680851063827,599.9999999999999,1.6672069473101268e-15,False
282.1499999999999,599.9999999999999,8.693748711184428e-16,False
234.12446808510637,720.0,2.3415867277548143e-14,False
240.12765957446808,719.9999999999998,2.4107995595818957e-14,False
234.1244680851064,760.0,7.419439021365017e-14,False
240.12765957446808,759.9999999999999,7.036224836446772e-14,False
234.1244680851064,800.0,8.811310099959386e-13,False
240.12765957446808,800.0,9.881892929174628e-13,False
246.13085106382985,639.9999999999999,2.017490700649145e-16,False
252.13404255319148,639.9999999999999,1.3103879714105045e-15,False
246.1308510638298,679.9999999999998,1.7955273499775927e-15,False
252.13404255319148,679.9999999999998,5.831473489526459e-16,False
258.1372340425532,559.9999999999999,1.1115547356210635e-15,False
