design_id,family,n_periods,pitches_nm,widths_nm,groove_w_nm,groove_d_nm,min_feature_nm,min_gap_nm,min_remaining_gap_nm,lambda980_nm,q980,mode980,lambda451_nm,q451,mode451,re_overlap451,folded_only,dual_score,passes_dual_targets
wide_top_groove_w140_d100,wide_top_groove,1,564.3,383.724,140.0,100.0,100.0,180.57599999999996,148.57599999999996,989.4433817451992,21.81245789369943,1,451.4528367040403,121.45861390271399,1,nan,False,171.4522715658107,False
wide_N2_w140_d100_dW40,wide_top_groove,2,564.3;564.3,363.724;403.724,140.0,100.0,100.0,180.57599999999996,148.57599999999996,979.38006993749,21.177215628416054,1,451.424183000556,115.98759986371192,1,0.0878948359338409,False,136.38652607728747,False
wide_top_groove_w140_d140,wide_top_groove,1,564.3,383.724,140.0,140.0,121.862,180.57599999999996,148.57599999999996,989.4433823816142,21.812458677007523,1,450.25506936864394,143.18409848457765,1,nan,False,171.74436772686732,False
wide_N2_w140_d140_dW40,wide_top_groove,2,564.3;564.3,363.724;403.724,140.0,140.0,111.862,180.57599999999996,148.57599999999996,977.9281147590636,22.793642312621667,1,450.58691077318696,145.04245375479329,1,0.17501184412398452,False,141.5443556133385,False
wide_top_groove_w140_d180,wide_top_groove,1,564.3,383.724,140.0,180.0,120.0,180.57599999999996,148.57599999999996,989.4433818146089,21.812457547287803,1,448.69245470474095,84.94263891779931,1,nan,False,173.66135182703374,False
wide_N2_w140_d180_dW40,wide_top_groove,2,564.3;564.3,363.724;403.724,140.0,180.0,111.862,180.57599999999996,148.57599999999996,974.4840591323976,24.2264813652848,1,451.23964217463293,43.72337411727986,1,0.12033940354088798,False,156.41403045772063,False
wide_top_groove_w180_d100,wide_top_groove,1,564.3,383.724,180.0,100.0,100.0,180.57599999999996,148.57599999999996,989.8086512296245,28.157909366821833,2,451.42274194555705,160.79488539791527,1,nan,False,170.665338729766,False
wide_top_groove_w180_d140,wide_top_groove,1,564.3,383.724,180.0,140.0,101.862,180.57599999999996,148.57599999999996,986.8070749914572,27.14805332644406,1,450.23370048992194,159.44519012206683,1,0.15706782597595068,False,159.31982560396102,False
wide_top_groove_w180_d180,wide_top_groove,1,564.3,383.724,180.0,180.0,101.862,180.57599999999996,148.57599999999996,984.7698216262328,25.978752298494342,1,452.3185083263842,227.91745973541143,1,0.11876977359466569,False,152.10542905045594,False
