x_nm,y_nm,abs_ez_squared,in_rare_earth_mask
248.95588235294105,720.0000000000001,1.752939910861345e-12,False
260.020588235294,720.0000000000001,1.7540843966165365e-12,False
271.085294117647,720.0,1.756296170568016e-12,False
282.1499999999999,720.0,1.7595774410823193e-12,False
248.95588235294105,746.6666666666667,7.906242721371853e-12,False
260.02058823529404,746.6666666666669,7.915050713503568e-12,False
271.08529411764704,746.6666666666669,7.919721151016541e-12,False
282.1499999999999,746.6666666666667,7.920251198598599e-12,False
248.95588235294105,773.3333333333334,1.9657600996893246e-11,False
260.02058823529404,773.3333333333334,1.9670527992111508e-11,False
271.085294117647,773.3333333333334,1.9686848984669166e-11,False
282.1499999999999,773.3333333333334,1.9706568312943188e-11,False
248.9558823529411,800.0,7.158523104704222e-11,False
260.02058823529404,800.0000000000001,7.159838069260383e-11,False
271.085294117647,800.0,7.166427988982006e-11,False
282.1499999999999,800.0,7.178304786737601e-11,False
215.76176470588229,720.0,1.7494208124234934e-12,False
226.82647058823522,720.0000000000001,1.7499475071270429e-12,False
237.89117647058814,720.0,1.7511204359636333e-12,False
215.76176470588229,746.6666666666667,7.888521615649712e-12,False
226.82647058823522,746.6666666666669,7.896145226400162e-12,False
237.89117647058816,746.6666666666669,7.902052806281571e-12,False
215.76176470588226,773.3333333333334,1.96234040469091e-11,False
226.82647058823525,773.3333333333334,1.963207121267805e-11,False
237.89117647058814,773.3333333333334,1.964346929860409e-11,False
215.76176470588229,800.0,7.148279854410571e-11,False
226.82647058823522,800.0000000000001,7.149014153944809e-11,False
237.89117647058814,800.0,7.152427725565145e-11,False
248.95588235294105,639.9999999999999,4.300526929848923e-14,False
260.020588235294,639.9999999999999,4.310976730371914e-14,False
271.085294117647,639.9999999999999,4.31594572412166e-14,False
282.1499999999999,639.9999999999999,4.315426069908592e-14,False
248.95588235294105,666.6666666666666,1.9386281742910793e-13,False
260.020588235294,666.6666666666666,1.9402694179735172e-13,False
271.085294117647,666.6666666666666,1.9426999579238273e-13,False
282.1499999999999,666.6666666666666,1.9459215169159986e-13,False
