design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,sio2_count,side_count,score
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,1,306.1231145035937,4.272899667258072e-08,979.3199003810627,3582147234.22272,0,0,0,0,0.6800996189373336
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,2,307.57876954720246,6.797116303787789e-08,974.685146316617,2262568093.588452,0,0,0,0,5.314853683383035
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,3,313.3678221918454,0.7851839748545579,956.6791379635191,199.55057173058805,0,0,0,0,46.120650130820394
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,4,313.38085125392985,0.7847935089610854,956.6393632554169,199.6581570028436,0,0,0,0,46.159488512878724
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,5,313.38366458479817,0.7846946971903219,956.6307752422093,199.68509135266225,0,0,0,0,46.16784219254863
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,6,313.38449623767536,0.7845380939352494,956.6282365565175,199.72548092963606,0,0,0,0,46.170029541111475
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,7,314.2420345636633,2.8837041723598866,954.0176839049332,54.48583068534775,0,0,0,0,51.03718178909722
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,8,314.25040471828135,2.8822973055962158,953.9922733552481,54.51387754277439,0,0,0,0,51.061698347715165
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,9,314.2540470624022,2.880431343721287,953.9812161606609,54.549824238548084,0,0,0,0,51.071610416881015
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,10,314.2580953856338,2.881398838958082,953.9689268214947,54.53221038627023,0,0,0,0,51.0844607722726
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,11,316.138222791573,7.014037761535733,948.2955124905931,22.536107841138435,0,0,0,0,58.29297186062789
v8_sio2_1500_P540_R78p0,540.0,78.0,384.0,0.0,0.0,12,316.15114675706013,7.011237768816118,948.2567470500728,22.54602947308431,0,0,0,0,58.330972668354434
