"design_id","period_nm","radius_nm","axis_gap_nm","kx_norm","ky_norm","mode_index","freq_thz_real","freq_thz_imag","wavelength_nm","q_value","particle_count","top_count","sio2_count","side_count","score"
"smallgap_P580_G80","580.0","250.0","80.0","0.0","0.0","1","312.81262931413875","0.006089919366817193","958.377091926607","25682.821928529545","0","0","0","0","35.98433711096817"
"smallgap_P580_G90","580.0","245.0","90.0","0.0","0.0","1","314.8070716413387","0.0068358487823861214","952.3053482786912","23026.18750523707","0","0","0","0","42.245763573881376"
"smallgap_P590_G80","590.0","255.0","80.0","0.0","0.0","1","307.88322603936086","0.007060256881137497","973.7213093956391","21803.96770420037","0","0","0","0","20.924548484025415"
"smallgap_P580_G100","580.0","240.0","100.0","0.0","0.0","1","316.9558949239706","0.007766572734419663","945.8491316967376","20405.13272471492","0","0","0","0","48.91191060735478"
"smallgap_P590_G90","590.0","250.0","90.0","0.0","0.0","1","309.79655470887946","0.007882053360034797","967.7075275472948","19652.020898492865","0","0","0","0","27.11884358349085"
"smallgap_P600_G80","600.0","260.0","80.0","0.0","0.0","1","303.1429537665027","0.008170203842498582","988.9474727191466","18551.737484789403","0","0","0","0","23.87393435828149"
"smallgap_P580_G110","580.0","235.0","110.0","0.0","0.0","5","319.26855561257565","0.008953661304917761","938.9977582502381","17828.938617391006","0","0","0","0","55.99773979070726"
"smallgap_P590_G100","590.0","245.0","100.0","0.0","0.0","1","311.855435313605","0.008901805463805675","961.3186882522206","17516.41487682441","0","0","0","0","33.70753085609923"
"smallgap_P600_G90","600.0","255.0","90.0","0.0","0.0","1","304.9600660365689","0.009053390154807951","983.0548041790192","16842.3132562455","0","0","0","0","18.14919721624898"
"smallgap_P590_G110","590.0","240.0","110.0","0.0","0.0","1","314.05369087850045","0.010172896694854284","954.5898255848942","15435.804584418762","0","0","0","0","40.656057327849815"
"smallgap_P600_G100","600.0","250.0","100.0","0.0","0.0","1","306.9240624657728","0.010167035884528755","976.7642705870672","15094.07785866189","0","0","0","0","18.52050306953212"
"smallgap_P590_G120","590.0","235.0","120.0","0.0","0.0","1","316.41442020219694","0.011802852903283777","947.4677475458449","13404.14994556801","0","0","0","0","48.02329534444682"
"smallgap_P600_G110","600.0","245.0","110.0","0.0","0.0","1","309.0240885702405","0.011548843310644763","970.1265017463448","13379.00602934875","0","0","0","0","25.36780285583345"
"smallgap_P590_G130","590.0","230.0","130.0","0.0","0.0","1","318.93972275970015","0.013911372085999326","939.9658825999347","11463.27338482619","0","0","0","0","55.796882800403964"
"focus_P600_G130","600.0","235.0","130.0","0.0","0.0","1","313.66284767705383","0.015491963389663143","955.7793032239039","10123.405271095018","0","0","0","0","40.19939028272671"
"smallgap_P590_G140","590.0","225.0","140.0","0.0","0.0","12","321.6257800356429","0.016670994282263128","932.1157587764784","9646.268680501924","0","0","0","0","63.94680380635073"
"focus_P610_G130","610.0","240.0","130.0","0.0","0.0","1","308.60064065050847","0.01721408876521415","971.4576657004295","8963.606638131256","0","0","0","0","24.73240314133455"
"focus_P600_G140","600.0","230.0","140.0","0.0","0.0","12","316.2268152429622","0.01837890167922965","948.0298429773092","8602.984573347389","0","0","0","0","48.23156044614838"
