design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,bottom_count,side_count,score
fine_P250_G150,250.0,50.0,150.0,0.0,0.0,1,666.6749539370213,4.7727542497903695e-05,449.6830970319014,6984174.32624258,11,5,4,2,5.940442684495053
cyl_P260_G150,260.0,55.0,150.0,0.0,0.0,1,665.169376872957,0.000114989033655831,450.70093185792945,2892316.57891764,11,5,4,2,6.454084834119539
cyl_P260_G130,260.0,65.0,130.0,0.0,0.0,1,666.0292199257037,0.00011425024002732272,450.1190774084088,2914782.5849924874,11,5,4,2,7.022497927299486
fine_P255_G145,255.0,55.0,145.0,0.0,0.0,1,662.0961927996793,7.035211454416076e-05,452.79290420373064,4705588.432484674,11,5,4,2,7.102448445492004
fine_P265_G135,265.0,65.0,135.0,0.0,0.0,1,665.3243187682093,0.00020188516893183893,450.5959718337666,1647779.0872117954,11,5,4,2,7.536432219400375
fine_P270_G150,270.0,60.0,150.0,0.0,0.0,1,663.746561159678,0.00038309230456894344,451.6670602047439,866301.088854457,12,6,4,2,8.916384763686334
fine_P265_G155,265.0,55.0,155.0,0.0,0.0,1,666.0908739025639,0.0003518922456777025,450.0774139773814,946441.5344244832,12,6,4,2,9.018210858710711
fine_P255_G135,255.0,60.0,135.0,0.0,0.0,1,671.2912995655606,7.275595566844799e-05,446.5907098662184,4613308.239841312,11,5,4,2,9.753240241305704
