design_id,family,target_nm,length_nm,n_periods,min_feature_nm,min_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,2,661.3677836339696,0.25436073174937507,453.2915957181224,1300.058737615254,9.83574382013839
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.002,2,661.3687715131081,0.2552381865228235,453.29091864153463,1295.591346504823,9.841046487077273
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.006,2,661.3766748200277,0.26225737586155934,453.28550191398693,1260.9305508516104,9.882737244815981
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.02,2,661.4666094674334,0.3420475707233356,453.22387208837637,966.9219519212127,10.28230640804398
