design_id,family,target_nm,length_nm,n_periods,min_feature_nm,min_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,1,305.87472916309935,4.3176606522635366e-08,980.1151563591376,3542134894.306067,0.11515635913758615
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,2,306.7278031031181,15.537872779665552,977.3892518612454,9.870328051100195,30.6334217901166
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,3,306.7281087140159,15.537846518817137,977.3882780319867,9.870354567557102,30.634390952484612
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,4,304.58034577302806,9.249251642040853,984.280378430603,16.46513456227158,31.414117293165482
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,5,304.58019415224544,9.249082965318896,984.2808684078378,16.465426642528982,31.414576454321978
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,6,302.72519428736825,5.665340704871021,990.3122160206319,26.717298222425285,36.60504586805534
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,7,302.7251523996171,5.665272493048205,990.3123530490597,26.71761621096672,36.605162220762665
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,8,309.81377640695734,20.488710873812717,967.653735340052,7.560597109185145,40.83204027636447
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,9,301.5698900466247,2.334134185279912,994.1060692552896,64.59994715566451,38.86514060436272
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,10,301.569889097046,2.3340542063682372,994.1060723855157,64.60216053985425,38.86508421478332
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,11,300.82237108129124,0.6333860979050925,996.5763414549613,237.47156124538662,39.07389502494871
fine_primitive_P562_f0p72,primitive_1d_grating_fine,980.0,562.0,1,157.36,157.36,0.0,12,300.82236946125084,0.6333957837721708,996.5763468218956,237.46792855938486,39.07392696630815
