design_id,family,target_nm,length_nm,n_periods,min_feature_nm,min_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,1,666.7866081634027,6.068557414075721,449.6077970518162,54.93781822157799,14.432717316061446
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,2,662.643103741652,14.55178120929774,452.41919263507737,22.768453367009865,15.989858512965728
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,3,660.5220655462155,0.4284316908450078,453.87198041913723,770.8604191294174,11.324077431912638
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,4,654.617850291941,2.732427803940003,457.96560216972557,119.78685207126422,18.65196556149433
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,5,651.0657785444697,0.31091433058089063,460.46416180899496,1047.0179636430137,17.38434527733552
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,6,683.6661483959066,0.1575659364639404,438.5070969264842,2169.46049298024,19.147496090293068
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,7,683.666150565257,0.15755496901019925,438.5070955350514,2169.6115167303933,19.147376554889536
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,8,683.8443076407225,0.6183899813489792,438.3928544119792,552.9231781447678,21.63648640548134
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,9,683.8443103940222,0.6183490869442176,438.3928526469183,552.9597478452434,21.636373279399592
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,10,684.127883222703,1.419190021100957,438.211137642535,241.02758371003094,23.2605953694468
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,11,684.1279043551015,1.4192717452207095,438.2111241063931,241.01371237004136,23.260708884515253
primitive_P560_f0p75,primitive_1d_grating,451.0,560.0,1,140.0,140.0,0.0,12,684.5450928052691,2.4764428163928045,437.9440611741866,138.21136677857555,24.49376377880653
