design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
dimer_P700_dP80,dimerized_pitch_grating,alternating pitch,1400.0,2,660;740,409.2;458.8,266.0,266.0,986.8092728053307,26.913825061369668,1,449.97440584282816,58.944691703910145,2,73.55253298924502
dimer_P700_dW40,dimerized_same_pitch_grating,alternating SiN ridge width,1400.0,2,700;700,414;454,266.0,266.0,986.8092727046079,26.91382528264854,1,449.94683952696,58.65635801262972,2,73.58861750481205
dimer_P700_dP40,dimerized_pitch_grating,alternating pitch,1400.0,2,680;720,421.6;446.4,266.0,266.0,986.809272664992,26.913825214475168,1,449.9220154018223,58.56121435087717,3,73.61626163909608
dimer_P540_dP40,dimerized_pitch_grating,alternating pitch,1080.0,2,520;560,322.4;347.2,205.2,205.2,985.7069011418887,10.745673737222937,1,450.80361215891384,28.545172443441942,1,74.56942388910191
dimer_P540_dW40,dimerized_same_pitch_grating,alternating SiN ridge width,1080.0,2,540;540,314.8;354.8,205.2,205.2,985.736755445513,10.686035300719865,1,451.27230570481856,30.178688166619672,1,74.62529893398387
dimer_P540_dP80,dimerized_pitch_grating,alternating pitch,1080.0,2,500;580,310;359.6,205.2,205.2,985.7579087274693,10.635197010288397,1,451.32999065183213,30.195129373819103,1,74.73884175247396
dimer_P540_dW70,dimerized_same_pitch_grating,alternating SiN ridge width,1080.0,2,540;540,299.8;369.8,205.2,205.2,985.8228502438983,10.494943781878911,1,451.95708426575754,30.957875867899247,1,75.4928393196799
dimer_P540_dP120,dimerized_pitch_grating,alternating pitch,1080.0,2,480;600,297.6;372,205.2,205.2,985.84241592558,10.458004572968882,1,452.1847822663364,31.255920560139785,1,75.75374314804228
primitive_P294_f0p42,primitive_1d_grating,single-period 1D reference,294.0,1,294,123.48,123.47999999999999,170.52,990.1350488938132,7.055228874197387,1,445.02669801402885,3357533914.2371364,1,76.30382202466575
primitive_P320_f0p55,primitive_1d_grating,single-period 1D reference,320.0,1,320,176,144.0,144.0,987.2307547492188,6.222729043872558,1,447.8650946181312,574.3587143852133,5,77.00181578491924
dimer_P540_dW100,dimerized_same_pitch_grating,alternating SiN ridge width,1080.0,2,540;540,284.8;384.8,205.2,205.2,985.9437403399743,10.217914558272506,1,447.3631136288231,59.171889771052925,3,77.37036942524887
