design_id,family,target_nm,length_nm,n_periods,min_feature_nm,min_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,1,302.779361598128,21.45779867648679,990.1350488938132,7.055228874197383,38.74100446585217
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,2,296.99177178864124,21.28510598065614,1009.4301811612206,6.976516162488144,58.055626742428764
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,3,293.74653707909243,16.218087702786953,1020.5821010896876,9.056139739231227,68.75432862887409
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,4,293.74607534210816,16.217941942702232,1020.5837053341053,9.05620689665523,68.75591999098587
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,5,291.47828957511933,9.624772151491582,1028.52414303995,15.142087780745438,75.80340000187093
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,6,291.477996018192,9.624664856905214,1028.5251788999162,15.14224133264605,75.80441824566523
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,7,289.526652745397,5.921947532860764,1035.4572028421526,24.44522271928446,81.90442684833396
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,8,289.5266009298892,5.921763522964437,1035.4573881541087,24.44597794281323,81.90455849183328
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,9,288.31478969844727,2.4311878674578344,1039.8095023621834,59.29504534750803,84.71742874003391
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,10,288.3147782623109,2.431115221049241,1039.8095436066988,59.296814845714636,84.71741814400606
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,11,287.53021171310553,0.6624864749378735,1042.6468099259414,217.00836363494778,85.30090403735815
primitive_P294_f0p42,primitive_1d_grating,980.0,294.0,1,123.47999999999999,170.52,0.0,12,287.5302069904151,0.6625104509701474,1042.6468270514397,217.0005066104015,85.30098406041708
