design_id,family,target_nm,length_nm,n_periods,min_feature_nm,min_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,1,664.9448194241312,12.472727964232492,450.853137346994,26.65594973813928,14.443686009679855
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,2,661.3677836339696,0.25436073174937895,453.2915957181224,1300.0587376152341,9.835743820138417
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,3,668.6901120604356,6.382039339017701,448.32793635343154,52.38843546233592,15.795121931396263
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,4,669.2183478637137,4.0081060046086465,447.974056534763,83.48311485452547,15.339548886274951
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,5,671.088352644346,1.1518448308771996,446.72576542075643,291.31022454355747,14.41681166737321
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,6,681.2335835546937,0.15816068296610064,440.0729283422516,2153.6122972505937,17.594401568158254
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,7,681.2335862803068,0.15814727515572316,440.0729265815214,2153.7948902676803,17.59425604930915
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,8,681.4123941115978,0.6206199064094222,439.95744807497846,548.9772299231333,20.084334599125114
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,9,681.4123971384283,0.6205674501750101,439.9574461206895,549.0236371133057,20.08418970918304
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,10,681.6969951329943,1.4244953914013725,439.7737706640655,239.27665868485641,21.710627994030347
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,11,681.6970163552204,1.424598466310315,439.7737569732642,239.25935359203484,21.71076732647421
fine_primitive_P562_f0p72,primitive_1d_grating_fine,451.0,562.0,1,157.36,157.36,0.0,12,682.1158178151941,2.485255754756387,439.5037472671875,137.23251953239262,22.94642458528892
