design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
fine_primitive_P558_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,558.0,1,558,424.08,133.92000000000002,133.92000000000002,987.149014632208,7086141975.173126,7,455.36585458248487,947.2766017397488,3,26.757976606413692
fine_primitive_P554_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,554.0,1,554,432.12,121.88,121.88,986.4519317685632,8846420037.004112,7,450.116373244231,56.092992917564835,1,26.791855840904706
fine_primitive_P548_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,548.0,1,548,411,137.0,137.0,968.8538830220723,9473862543.211851,5,451.6753615269033,2458.2560618659754,2,29.405087007672734
fine_primitive_P546_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,546.0,1,546,414.96,131.04000000000002,131.04000000000002,968.7408465381925,11974999299.931557,1,453.2351774943194,2614.323399444523,3,31.084047177677352
fine_primitive_P546_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,546.0,1,546,409.5,136.5,136.5,965.7894889859084,11123079580.134678,5,450.200247934423,2549.9510448772753,2,35.594646722838114
fine_primitive_P548_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,548.0,1,548,405.52,142.48000000000002,142.48000000000002,965.7118244700644,8724983283.844086,7,448.73481601664844,2009.214367633341,2,37.629429942892614
fine_primitive_P546_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,546.0,1,546,404.04,141.95999999999998,141.95999999999998,962.6543503715467,9971208947.10961,5,447.2642128448948,1956.7167711757183,2,45.26097454242499
fine_primitive_P552_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,552.0,1,552,408.48,143.51999999999998,143.51999999999998,978.8171379824266,246.26038891875316,2,451.6612721020391,2011.954571432774,2,49.0727615283856
fine_primitive_P552_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,552.0,1,552,397.44,154.56,154.56,978.8171379824257,246.26038891874913,2,446.0963046998341,1133.4587174836627,3,54.31203458020154
fine_primitive_P554_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,554.0,1,554,398.88,155.12,155.12,979.994314616247,66.42711678676157,2,447.5465968398814,1184.0533541220796,2,54.41487101943859
fine_primitive_P556_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,556.0,1,556,400.32,155.68,155.68,979.8377780794224,27.303298058806636,1,448.9905124014269,1231.8038944373423,2,55.91825937760619
fine_primitive_P550_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,550.0,1,550,407,143.0,143.0,975.2760028970449,248.04351755900836,2,450.19970728266765,2034.1753013533983,2,56.25303824495831
fine_primitive_P552_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,552.0,1,552,441.6,110.39999999999998,110.39999999999998,978.8171379824253,246.26038891871005,2,450.82966562831865,55.38425538148518,1,56.322751195005864
fine_primitive_P550_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,550.0,1,550,412.5,137.5,137.5,975.2760028970451,248.04351755901135,2,453.1453583845173,2289.6545336478293,3,57.39257757838629
fine_primitive_P548_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,548.0,1,548,394.56,153.44,153.44,958.8871569924008,6651124253.638759,9,443.1816779254228,1041.1433570447432,3,57.973965959871805
fine_primitive_P554_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,554.0,1,554,443.2,110.79999999999995,110.79999999999995,979.9943146162461,66.42711678662471,2,451.2241985378194,55.34694195843,1,58.006776966122246
fine_primitive_P556_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,556.0,1,556,433.68,122.32,122.32,979.8377780794224,27.303298058836088,1,450.5099993023409,55.95108949380771,1,59.76970457737245
fine_primitive_P552_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,552.0,1,552,386.4,165.60000000000002,165.60000000000002,978.8171379824281,246.26038891877266,2,447.172905195174,23.970370124841548,1,59.9343579528634
fine_primitive_P554_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,554.0,1,554,387.8,166.20000000000005,166.20000000000005,979.9943146162466,66.42711678680045,2,447.6807891615141,24.092774836125223,1,61.0466164999133
fine_primitive_P556_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,556.0,1,556,444.8,111.19999999999999,111.19999999999999,979.8377780794237,27.30329805884481,1,451.6138148070711,55.25065706018009,1,61.41540308865655
fine_primitive_P564_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,564.0,1,564,417.36,146.64,146.64,980.7182478316946,9.803899775777419,1,453.4951796133738,620.5703408422073,3,61.82071917540588
fine_primitive_P560_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,560.0,1,560,392,168.0,168.0,980.8727420188105,16.574285889730625,1,446.7962978268429,708.3836520745785,3,62.01206831046025
fine_primitive_P556_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,556.0,1,556,389.2,166.8,166.8,979.8377780794228,27.303298058795086,1,443.92642703951236,645.2597001564253,3,62.1055728627929
fine_primitive_P560_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,560.0,1,560,436.8,123.19999999999999,123.19999999999999,980.872742018815,16.574285889730515,1,451.2855972785546,55.50031667404483,1,62.517855691663726
fine_primitive_P560_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,560.0,1,560,425.6,134.39999999999998,134.39999999999998,980.8727420188139,16.57428588973057,1,456.56720685210314,934.6933906183841,3,62.89397042281844
