design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,sio2_count,side_count,score
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,1,307.5457490693435,5.918387776433206,974.7897960130956,25.982223595924125,0,0,0,0,31.551498723418117
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,2,313.77298736253334,2.6656469028631555,955.4438083403904,58.85494193276529,0,0,0,0,49.47705991738154
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,3,313.7734014403979,2.6652997748968867,955.4425474682768,58.862684864882965,0,0,0,0,49.47809226210887
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,4,314.25229600369204,1.5694704286200236,953.9865318803521,100.11411819973004,0,0,0,0,50.011486813771185
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,5,314.44577043219374,3.059165205137662,953.3995562667186,51.394048596019466,0,0,0,0,51.75679240995039
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,6,297.28652479191345,7.339945907668356,1008.4293534994248,20.251274909350865,0,0,0,0,55.20354402257175
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,7,297.2815159996232,7.341426117511558,1008.4463441729083,20.246850628280207,0,0,0,0,55.220914257496695
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,8,317.78115634192807,0.773737885012041,943.392809853796,205.35452799818813,0,0,0,0,59.357173012834664
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,9,317.7839450450651,0.773570878035003,943.3845311395021,205.4006646761887,0,0,0,0,59.365061481939065
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,10,317.7842883005987,0.7734716661039345,943.383512140223,205.4272329724207,0,0,0,0,59.36585579415028
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,11,317.7858471006475,0.7734949872805416,943.3788846645875,205.42204689517183,0,0,0,0,59.37052712596065
center_P960_rho0p2,960.0,192.0,576.0,0.0,0.0,12,294.51409891286005,4.192253568989264,1017.9222628275656,35.125988214480344,0,0,0,0,63.73974862245447
center_P960_rho0p28,960.0,268.8,422.4,0.0,0.0,1,306.8672262116238,11.751166257314917,976.9451814748543,13.05688386548883,0,0,0,0,30.591460359962483
