period_nm,fill,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
554.13,0.75,0.0,1,305.91135298696724,1.071755961474653e-09,979.9978165987585,142715022814.54865,0.0021834012414956305
554.13,0.75,0.01,1,305.8705738083244,0.004385288243117001,980.1284715536796,34874.62589128645,44.70337597845338
554.13,0.75,0.02,1,305.74851758206455,0.01732235088248443,980.5197433852941,8825.260487340189,51.06246805597606
554.13,0.75,0.05,1,304.9061090059202,0.09895554882881613,983.2287682834819,1540.621585219942,61.35180850001356
554.13,0.75,0.1,1,302.0733910815347,0.2819323361566926,992.4490764533476,535.7196609644096,75.15970060019089
554.13,0.75,0.2,1,316.6273824529569,1.426405870548732,946.8304847087627,110.9878292673991,102.71676171704713
554.13,0.75,0.35,1,309.75839817310253,0.06531897807479527,967.8267313109836,2371.120976650961,68.42373156276622
554.13,0.75,0.5,1,307.11089531669177,6.128899473839021,976.1700498800441,25.054326362145698,79.84112281673669
554.13,0.75,0.75,1,306.024830637353,1.9623678516093568,979.6344217416183,77.97336018993052,71.44611575694692
554.13,0.75,1.0,1,303.97015055595637,12.455635354468505,986.2562407910268,12.202113417157237,85.39189021713267
