period_nm,fill,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
480.0,0.25,0.0,1,298.9859506125502,11.864993419841465,1002.6974758706804,12.599499217275804,101.69394303180303
480.0,0.25,0.0,2,294.8415987509543,15.7968758375621,1016.7915900267099,9.332275627876829,117.09171445513455
480.0,0.25,0.0,3,328.51781666676777,15.518052933657872,912.5607281875207,10.585020494234469,147.19235478030495
480.0,0.25,0.0,4,330.9302301325944,12.642645762826152,905.9083477501637,13.087855040028339,152.9229674883857
480.0,0.25,0.0,5,352.14415497909073,0.23206243362854478,851.3344712985531,758.7271870611274,189.86467223962413
480.0,0.25,0.0,6,352.1441566113953,0.231948355668854,851.3344673523364,759.1003514466414,189.86254072271834
480.0,0.25,0.0,7,267.6059132914529,12.41728658548655,1120.275909873084,10.775539061981279,219.9515198172037
480.0,0.25,0.0,8,261.0649315718433,18.405126406757933,1148.3444221902287,7.092179803665634,249.8366248155395
480.0,0.35,0.0,1,297.11872971775597,11.447245270025995,1008.9988547163753,12.977739303609821,107.86686425820098
480.0,0.35,0.0,2,295.43344191475575,15.148371292598473,1014.7546467894518,9.751326931731109,114.86400961716625
480.0,0.35,0.0,3,327.73370664915666,12.766647235231167,914.7440495674491,12.83554329537415,144.1718078729559
480.0,0.35,0.0,4,327.90961769475706,14.667334914704872,914.253324155528,11.178227660364128,145.26294634057894
480.0,0.35,0.0,5,352.14415847987704,0.23206488771932265,851.3344628351441,758.7191710488052,189.86472658682862
480.0,0.35,0.0,6,352.1441584868568,0.23194044401615313,851.33446281827,759.126248939862,189.86239709526
480.0,0.35,0.0,7,266.2724873232058,11.415414467227096,1125.8859712235578,11.6628479889038,225.21792507195568
480.0,0.35,0.0,8,263.5716123683189,17.810860411117094,1137.4231667296006,7.399182473065817,238.73132935262862
480.0,0.45,0.0,1,294.96624219353083,14.009938168979966,1016.3619259294854,10.52703583112982,116.1388649179219
480.0,0.45,0.0,2,294.849560507334,11.576826955520682,1016.7641338320498,12.734472133002216,115.71432435827263
480.0,0.45,0.0,3,324.0999161320201,12.655437939791337,925.0001097744233,12.804768893575083,133.92617278031298
480.0,0.45,0.0,4,326.32856309407344,13.418928261651022,918.682861094131,12.159263270922466,140.46806628731264
480.0,0.45,0.0,5,352.14415390693875,0.2319417563728233,851.3344738905597,759.1219438316705,189.86241065247083
480.0,0.45,0.0,6,352.14415559849846,0.23206300534161609,851.3344698010894,758.7253191867288,189.8646844287904
480.0,0.45,0.0,7,264.77099573753287,11.228124191119838,1132.2707654020528,11.790526682405973,231.5554333475788
480.0,0.45,0.0,8,264.2551246916028,16.014730607710113,1134.4811509327237,8.250376830078556,235.31641308178658
480.0,0.55,0.0,1,293.72336070367237,12.88070434681344,1020.6626305847375,11.401680870671356,120.09294177396413
480.0,0.55,0.0,2,292.437249914682,11.638174686761031,1025.1514062844724,12.563707702692549,124.16022804555885
480.0,0.55,0.0,3,321.07267689483916,11.944000995403933,933.7214891636229,13.440750591798693,124.99427561290877
480.0,0.55,0.0,4,324.22192547809846,12.043512689406992,924.6520190080461,13.46043857135101,134.05738888786286
480.0,0.55,0.0,5,350.8896950851397,10.604563209041615,854.3780629615198,16.544278541617146,203.43545870534444
480.0,0.55,0.0,6,352.14415150644163,0.23194265065150516,851.3344796939386,759.1190117843823,189.8624216233984
480.0,0.55,0.0,7,263.72779176876134,14.482768881543059,1136.7495855835339,9.104881598464845,237.15684255830104
480.0,0.55,0.0,8,263.15955526286695,11.34598117941675,1139.2041520230603,11.597038242063913,238.56068113024344
480.0,0.65,0.0,1,318.9095157632251,11.056114734445467,940.0549158356924,14.422313960330857,118.35473470916911
480.0,0.65,0.0,2,292.1356824973255,11.94097912373347,1026.2096551753639,12.23248443323575,125.33450845776728
480.0,0.65,0.0,3,322.07620217157233,10.850796989249215,930.8121990344956,14.841131139522744,127.4731309392738
480.0,0.65,0.0,4,290.16994032215723,11.41069260578179,1033.1616626696737,12.714825924551167,132.11855848230266
480.0,0.65,0.0,5,349.3992512058872,9.763163764268628,858.022611569205,17.893751433558034,199.45037442920324
480.0,0.65,0.0,6,352.1441543422609,0.23206079252344003,851.3344728381363,758.7325513134483,189.86463999523707
480.0,0.65,0.0,7,262.679562123567,13.358241288682384,1141.2858144592717,9.83211623621888,241.35934441747506
480.0,0.65,0.0,8,261.45705903453376,11.505556672977782,1146.6221608512885,11.362208125426816,246.06753344995167
480.0,0.75,0.0,1,317.3771339868535,10.252479617887442,944.5937526564787,15.478067053804596,113.50908010581603
480.0,0.75,0.0,2,320.12212835347145,10.057268009732432,936.4940172738578,15.914964583010457,121.48792596130349
480.0,0.75,0.0,3,290.44757188036937,11.2459386038672,1032.174089317158,12.913442893085492,131.06366885411637
480.0,0.75,0.0,4,288.2192378226338,10.955007932605348,1040.1542251821797,13.154679558232358,138.96342244875422
480.0,0.75,0.0,5,346.826103305907,9.883598572856337e-11,864.3883927490242,1754553772845.4863,115.6116072509758
480.0,0.75,0.0,6,348.3857640450335,9.191502790069537,860.5186805544896,18.951512717889184,196.7048806329119
480.0,0.75,0.0,7,261.38366693367533,12.560047559673157,1146.9441129084423,10.40536135280674,246.7715412404719
480.0,0.75,0.0,8,259.716025133355,11.565234296918597,1154.3086640343704,11.228307981730767,253.80552087029696
520.0,0.25,0.0,1,299.1766057367636,11.515052175422861,1002.0584907089237,12.99067521271466,100.92217346029113
520.0,0.25,0.0,2,294.81032685861027,15.763163577778311,1016.8994458046211,9.351242388749016,117.190752661956
520.0,0.25,0.0,3,325.0425040959243,0.2542440656625536,922.3177099064168,639.2332172018878,119.62569674728452
520.0,0.25,0.0,4,325.04250467655527,0.2541622309733966,922.3177082588593,639.4390374834603,119.62430027874159
520.0,0.25,0.0,5,325.4426347189097,0.9679204105336506,921.1837233893335,168.11435691261073,126.56022857432784
520.0,0.25,0.0,6,325.44269435063785,0.9682431841211027,921.1835545983962,168.05834509749218,126.56184457512526
520.0,0.25,0.0,7,326.0964127825527,2.292441586211931,919.336877832837,71.12425780963952,132.14294469205754
520.0,0.25,0.0,8,326.09664278663314,2.2929672281271127,919.3362294016498,71.10800337364344,132.14458575485048
520.0,0.35,0.0,1,297.24444072791067,11.21916415165194,1008.5721275925281,13.247174063503813,107.35089516415611
520.0,0.35,0.0,2,295.3189573801702,15.019901571949115,1015.148030656464,9.83092185942491,115.22208821497922
520.0,0.35,0.0,3,325.0425040902052,0.25424414291477687,922.3177099226448,639.2330229592744,119.62569805073932
520.0,0.35,0.0,4,325.0425046722257,0.25416233987496206,922.3177082711446,639.4387634929193,119.62430212734678
520.0,0.35,0.0,5,325.4426345768558,0.9679186963759805,921.183723791425,168.11465456518062,126.56022048290177
520.0,0.35,0.0,6,325.442694497759,0.9682413050323933,921.1835541819618,168.05867132825483,126.56183656114928
520.0,0.35,0.0,7,326.0964129513818,2.2924426579713812,919.3368773568708,71.12422459455314,132.142947196183
520.0,0.35,0.0,8,326.09664282607355,2.2929679171769592,919.3362292904587,71.10798201388596,132.14458717059597
520.0,0.45,0.0,1,294.89923239460944,11.504394742965854,1016.5928733203444,12.816807793166173,115.51507460552479
520.0,0.45,0.0,2,294.6961135099744,13.771569069609999,1017.2935585384065,10.699438532399562,116.99994865751563
520.0,0.45,0.0,3,325.0425040973249,0.25424403536779194,922.3177099024425,639.2332933732648,119.62569623375116
520.0,0.45,0.0,4,325.0425046788373,0.25416219483238517,922.3177082523839,639.4391284140355,119.62429966763432
520.0,0.45,0.0,5,325.4426346766026,0.9679211779269564,921.183723509086,168.11422360528303,126.5602318983419
520.0,0.45,0.0,6,325.4426943858215,0.9682437218823564,921.183554498807,168.05825177628336,126.56184708631132
520.0,0.45,0.0,7,326.09641298662524,2.2924411968876277,919.3368772575119,71.12426993315154,132.14294452710442
520.0,0.45,0.0,8,326.0966421965526,2.29296740035001,919.3362310652133,71.10799790410792,132.1445844253407
520.0,0.55,0.0,1,293.32919744641504,12.531495297505986,1022.0341534693819,11.703679029620405,121.35092944071799
520.0,0.55,0.0,2,320.70812493948506,12.136788076734678,934.7828592012389,13.212232219587763,124.00737881584004
520.0,0.55,0.0,3,292.40137954800144,11.66574073342273,1025.277166829458,12.53248234423134,124.29679581494615
520.0,0.55,0.0,4,325.04250408429823,0.2542441847220533,922.3177099394061,639.2329178337817,119.62569874819997
520.0,0.55,0.0,5,325.0425046729933,0.25416230853540545,922.3177082689664,639.4388423406102,119.62430159400674
520.0,0.55,0.0,6,325.4426345163074,0.9679190091790433,921.1837239628106,168.11460020417258,126.56022171583686
520.0,0.55,0.0,7,325.4426943693389,0.9682406369866536,921.183554545462,168.05878721542692,126.56183320291262
520.0,0.55,0.0,8,326.0964122528125,2.2924428630131906,919.3368793262899,71.12421808066154,132.1429456245112
520.0,0.65,0.0,1,318.5544221641891,11.191352798912863,941.102797956078,14.232167812417355,117.36449148491627
520.0,0.65,0.0,2,321.53830816089857,9.940830770564775,932.3693332676961,16.17260748030171,125.54286627163614
520.0,0.65,0.0,3,291.67865327423135,11.523245508127168,1027.8176158408828,12.656098191629905,126.79461748472163
520.0,0.65,0.0,4,290.08332574358076,11.469126570893875,1033.4701494183835,12.646269266909503,132.45052517177217
520.0,0.65,0.0,5,325.0425040662474,0.2542443662859819,922.3177099906259,639.2324613018751,119.62570179865646
520.0,0.65,0.0,6,325.04250453339637,0.25416234148587,922.3177086650768,639.4387591669769,119.62430176279558
520.0,0.65,0.0,7,325.4426358415023,0.9679182396337832,921.1837202117717,168.11473454856846,126.56022199632612
520.0,0.65,0.0,8,325.44269392624165,0.9682368614370471,921.1835557996734,168.05944231622362,126.5618150197378
520.0,0.75,0.0,1,317.08875396478544,10.358327033929688,945.452824332249,15.30598295101762,112.69856341532036
520.0,0.75,0.0,2,319.6653919670643,9.148048979782818,937.8320754562262,17.471779647962347,119.74455310589313
520.0,0.75,0.0,3,323.31876678529693,2.1630290715656568e-09,927.2349420999745,74737499147.72768,52.765057900025454
520.0,0.75,0.0,4,290.01919804332846,10.849199800099047,1033.6986655456217,13.365925754297601,132.43867510208162
520.0,0.75,0.0,5,325.0425040959363,0.25424405345448453,922.3177099063827,639.2332478960541,119.62569653878273
520.0,0.75,0.0,6,325.0425046872046,0.2541622676246254,922.3177082286414,639.43894529471,119.62430093508743
520.0,0.75,0.0,7,325.44263451706183,0.9679204160422141,921.1837239606753,168.1143558515808,126.56022803039599
520.0,0.75,0.0,8,325.4426945807166,0.9682433174601169,921.1835539471458,168.05832207260337,126.56184582138228
560.0,0.25,0.0,1,303.9697409749289,4.172511707017759,986.2575697122646,36.42527119380892,80.64354177358594
560.0,0.25,0.0,2,303.9692651974394,4.1725623351497525,986.2591134181725,36.424772212124424,80.645144972936
