x_nm,y_nm,abs_ez,abs_ez_squared
242.43187500000002,720.0,2.5178412923250566e-06,6.339524773337111e-12
253.97625000000002,720.0000000000001,2.517387652729191e-06,6.337240594113386e-12
265.520625,720.0,2.5176533009219387e-06,6.338578143643134e-12
277.06499999999994,720.0,2.5186379866398168e-06,6.34353730774507e-12
242.43187500000002,746.6666666666667,5.345115961280042e-06,2.857026463953067e-11
253.97624999999996,746.6666666666669,5.345816572988688e-06,2.8577754832040524e-11
265.520625,746.6666666666667,5.344931876738985e-06,2.8568296766980527e-11
277.06499999999994,746.6666666666667,5.342462203399906e-06,2.8541902394756575e-11
242.431875,773.3333333333334,8.427213053528337e-06,7.101791984955839e-11
253.97624999999996,773.3333333333334,8.426375073670314e-06,7.100379688217239e-11
265.520625,773.3333333333334,8.426161593070083e-06,7.100019919252937e-11
277.06499999999994,773.3333333333334,8.42657261452797e-06,7.100712602791275e-11
242.431875,800.0,1.6079169263713065e-05,2.585396842111349e-10
253.97624999999996,800.0000000000001,1.6074193902631424e-05,2.5837970961939325e-10
265.520625,800.0,1.6075183611922932e-05,2.584115281570356e-10
277.06499999999994,800.0,1.6082142991859543e-05,2.58635323210617e-10
207.79874999999993,720.0,2.5182620943315274e-06,6.341643975747011e-12
219.343125,720.0000000000001,2.5177252186355617e-06,6.338940276553487e-12
230.8875,720.0,2.517585092751724e-06,6.338234699245706e-12
207.79874999999993,746.6666666666667,5.344923184433224e-06,2.8568203847491794e-11
219.343125,746.6666666666669,5.3459389790018575e-06,2.8579063567211422e-11
230.8875,746.6666666666667,5.3460031849835465e-06,2.8579750053854225e-11
207.79874999999993,773.3333333333334,8.429188305683851e-06,7.105121549267739e-11
219.34312499999996,773.3333333333334,8.428164580274415e-06,7.10339581921922e-11
230.8875,773.3333333333334,8.427506150025152e-06,7.102285990871177e-11
207.7987499999999,800.0,1.6084189231284014e-05,2.5870114322775264e-10
219.34312499999993,800.0000000000001,1.607933847998403e-05,2.5854512595389517e-10
230.88749999999996,800.0,1.60776650126199e-05,2.5849131225802207e-10
242.43187500000002,639.9999999999999,3.9413359098485124e-07,1.55341287542614e-13
253.97625000000002,639.9999999999999,3.944003824913357e-07,1.555516617093119e-13
