design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,sio2_count,side_count,score
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,1,305.95398043839725,2.451987516290368e-06,979.8612770797474,62388975.96454275,0,0,0,0,0.9582914910568611
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,2,318.50604908837107,0.7718511217278426,941.2457278537311,206.32609069439002,0,0,0,0,61.496055547936265
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,3,318.5160690357892,0.7716489513533548,941.2161179419636,206.3866402443498,0,0,0,0,61.52515573303631
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,4,318.5173140450219,0.7716586973915228,941.212438949629,206.38484029385154,0,0,0,0,61.528849875808476
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,5,318.5209657756227,0.7714143239108131,941.2016482807737,206.4525870875898,0,0,0,0,61.5390704014161
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,6,318.52565636055164,0.7711782542671182,941.1877882158831,206.51882661244088,0,0,0,0,61.552373188792245
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,7,318.5262625804747,0.7713401554768987,941.1859969450976,206.4758721031051,0,0,0,0,61.554525818336124
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,8,318.53157642284106,0.7711201019335402,941.1702957889316,206.53823938977928,0,0,0,0,61.56970232862862
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,9,318.53438971516846,0.7711246954584488,941.1619833829328,206.53883320763933,0,0,0,0,61.57800974007631
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,10,319.3481109781364,2.8418039557319292,938.763836998318,56.187568873991125,0,0,0,0,66.2376020359614
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,11,319.35405492391556,2.8414658495632943,938.7463643491985,56.19530056519898,0,0,0,0,66.25483565713294
v7_sio2_1500_P594_G80,594.0,257.0,80.0,0.0,0.0,12,319.3553252834317,2.8415727438946097,938.7426301218889,56.193410140492986,0,0,0,0,66.25862832454844
